epoch,train_loss,train_acc,val_loss,val_acc,lr,time
90,0.4485,0.8673,0.6249,0.7987,0.050000,0.07
91,0.4431,0.8726,0.6211,0.8036,0.050000,0.07
92,0.4416,0.8742,0.6164,0.8084,0.025000,0.08
93,0.4397,0.8722,0.6126,0.8052,0.025000,0.08
94,0.4369,0.8794,0.6112,0.8068,0.025000,0.06
95,0.4353,0.8762,0.6114,0.8084,0.025000,0.08
96,0.4330,0.8774,0.6111,0.8101,0.025000,0.08
97,0.4331,0.8782,0.6106,0.8084,0.025000,0.07
98,0.4309,0.8794,0.6109,0.8117,0.025000,0.09
99,0.4312,0.8794,0.6094,0.8003,0.025000,0.09
100,0.4294,0.8776,0.6089,0.8052,0.025000,0.07
101,0.4278,0.8790,0.6086,0.8101,0.025000,0.06
102,0.4277,0.8814,0.6080,0.8052,0.025000,0.07
103,0.4262,0.8794,0.6090,0.8068,0.025000,0.07
104,0.4269,0.8802,0.6075,0.8052,0.025000,0.06
105,0.4239,0.8808,0.6076,0.8084,0.025000,0.06
106,0.4236,0.8798,0.6066,0.8052,0.025000,0.06
107,0.4222,0.8820,0.6066,0.8068,0.025000,0.06
108,0.4204,0.8824,0.6047,0.8084,0.025000,0.06
109,0.4209,0.8810,0.6064,0.8101,0.025000,0.06
110,0.4197,0.8820,0.6049,0.8117,0.025000,0.06
111,0.4191,0.8826,0.6058,0.8084,0.025000,0.07
112,0.4170,0.8836,0.6036,0.8068,0.025000,0.08
113,0.4163,0.8826,0.6051,0.8117,0.025000,0.11
114,0.4152,0.8850,0.6036,0.8068,0.025000,0.07
115,0.4145,0.8826,0.6035,0.8084,0.025000,0.07
116,0.4142,0.8850,0.6024,0.8084,0.025000,0.07
117,0.4144,0.8816,0.6026,0.8101,0.025000,0.07
118,0.4126,0.8824,0.6035,0.8084,0.025000,0.07
119,0.4102,0.8848,0.6011,0.8117,0.025000,0.06
120,0.4092,0.8850,0.6038,0.8052,0.025000,0.07
121,0.4095,0.8850,0.6002,0.8101,0.025000,0.07
122,0.4077,0.8875,0.6019,0.8084,0.025000,0.06
123,0.4069,0.8850,0.6011,0.8149,0.025000,0.08
124,0.4057,0.8856,0.6016,0.8068,0.025000,0.08
125,0.4048,0.8877,0.6002,0.8117,0.025000,0.17
126,0.4042,0.8860,0.5989,0.8133,0.012500,0.08
127,0.4028,0.8879,0.6012,0.8084,0.012500,0.09
128,0.4026,0.8867,0.5992,0.8084,0.012500,0.09
129,0.4015,0.8895,0.5984,0.8101,0.012500,0.08
130,0.4012,0.8891,0.5991,0.8101,0.012500,0.09
