house,sale_id,lot_id,lot_number,raw_width,raw_height,purpose
cng_feature,Auction 91,737597,215964,500,227,weld_ab
cng_feature,Auction 91,737603,215970,500,241,weld_ab
cng_feature,Auction 91,737609,215976,500,242,weld_ab
cng_feature,Auction 91,737616,215983,500,231,weld_ab
cng_feature,Auction 91,737622,215989,500,244,weld_ab
cng_feature,Auction 91,737628,215995,500,242,weld_ab
cng_feature,Auction 91,737634,216001,500,225,weld_ab
cng_feature,Auction 91,737640,216007,500,235,weld_ab
cng_feature,Auction 91,737646,216013,500,229,weld_ab
cng_feature,Auction 91,737653,216020,500,228,weld_ab
cng_feature,Auction 91,737659,216026,500,244,weld_ab
cng_feature,Auction 91,737665,216032,500,245,weld_ab
cng_feature,Auction 91,737671,216038,500,242,weld_ab
cng_feature,Auction 91,737677,216044,500,236,weld_ab
cng_feature,Auction 91,737683,216050,500,243,weld_ab
cng_feature,Auction 91,737690,216057,500,235,weld_ab
cng_feature,Auction 91,737696,216063,500,226,weld_ab
cng_feature,Auction 91,737702,216069,500,245,weld_ab
cng_feature,Auction 91,737708,216075,500,228,weld_ab
cng_feature,Auction 91,737714,216081,500,237,weld_ab
cng_feature,Auction 91,737720,216087,500,242,weld_ab
cng_feature,Auction 91,737727,216094,500,249,weld_ab
cng_feature,Auction 91,737733,216100,500,232,weld_ab
cng_feature,Auction 91,737739,216106,500,261,weld_ab
cng_feature,Auction 91,737745,216112,500,251,weld_ab
cng_feature,Auction 91,737751,216118,500,218,weld_ab
cng_feature,Auction 91,737757,216124,500,261,weld_ab
cng_feature,Auction 91,737764,216131,500,253,weld_ab
cng_feature,Auction 91,737770,216137,500,246,weld_ab
cng_feature,Auction 91,737776,216143,500,245,weld_ab
cng_feature,Auction 91,737782,216149,500,235,weld_ab
cng_feature,Auction 91,737788,216155,500,236,weld_ab
cng_feature,Auction 91,737794,216161,500,242,weld_ab
cng_feature,Auction 91,737801,216168,500,231,weld_ab
cng_feature,Auction 91,737807,216174,500,245,weld_ab
cng_feature,Auction 91,737813,216180,500,235,weld_ab
cng_feature,Auction 91,737819,216186,500,251,weld_ab
cng_feature,Auction 91,737825,216192,500,252,weld_ab
cng_feature,Auction 91,737831,216198,500,221,weld_ab
cng_feature,Auction 91,737838,216205,500,252,weld_ab
cng_feature,Auction 91,737844,216211,500,247,weld_ab
cng_feature,Auction 91,737850,216217,500,233,weld_ab
cng_feature,Auction 91,737856,216223,500,235,weld_ab
cng_feature,Auction 91,737862,216229,500,231,weld_ab
cng_feature,Auction 91,737868,216235,500,237,weld_ab
cng_feature,Auction 91,737875,216242,500,254,weld_ab
cng_feature,Auction 91,737881,216248,500,237,weld_ab
cng_feature,Auction 91,737887,216254,500,235,weld_ab
