id,side,avg_bg,bg_type,corner_std,bg_path,counterfactual_ring_median,counterfactual_bg_type,error
755415,rev,30.71825339026578,dark,21.904921821362432,dark_fallback,86.0,dark,
755416,obv,29.718081776880364,dark,21.6698384857848,dark_fallback,86.0,dark,
755416,rev,29.27174679157734,dark,21.904921821362432,dark_fallback,86.0,dark,
755417,obv,27.443542389687654,dark,21.6698384857848,dark_fallback,86.0,dark,
755417,rev,29.220393388285576,dark,21.904921821362432,dark_fallback,86.0,dark,
755418,obv,31.386242109530336,dark,21.6698384857848,dark_fallback,86.0,dark,
755418,rev,30.497227532551527,dark,21.904921821362432,dark_fallback,86.0,dark,
755419,obv,33.107682268368926,dark,21.6698384857848,dark_fallback,86.0,dark,
755419,rev,32.63035534300327,dark,21.904921821362432,dark_fallback,86.0,dark,
755421,obv,29.65495918162384,dark,21.6698384857848,dark_fallback,86.0,dark,
755421,rev,28.105267038611842,dark,21.904921821362432,dark_fallback,86.0,dark,
755422,obv,28.49167109029743,dark,21.6698384857848,dark_fallback,86.0,dark,
755422,rev,30.740681006363435,dark,21.904921821362432,dark_fallback,86.0,dark,
755420,obv,33.78159988771203,dark,21.6698384857848,dark_fallback,86.0,dark,
755420,rev,34.52606973276122,dark,21.904921821362432,dark_fallback,86.0,dark,
755423,obv,32.26186408379441,dark,21.6698384857848,dark_fallback,86.0,dark,
755423,rev,33.073864605933544,dark,21.904921821362432,dark_fallback,86.0,dark,
755424,obv,31.08450417199724,dark,21.6698384857848,dark_fallback,86.0,dark,
755424,rev,29.769293522597486,dark,21.904921821362432,dark_fallback,86.0,dark,
755426,obv,32.26635049652875,dark,21.6698384857848,dark_fallback,86.0,dark,
755426,rev,31.54979379531425,dark,21.904921821362432,dark_fallback,86.0,dark,
755427,obv,28.54772415684124,dark,21.6698384857848,dark_fallback,86.0,dark,
755427,rev,29.114241771762536,dark,21.904921821362432,dark_fallback,86.0,dark,
755425,obv,30.60491117816737,dark,21.6698384857848,dark_fallback,86.0,dark,
755425,rev,30.14972449787516,dark,21.904921821362432,dark_fallback,86.0,dark,
755429,obv,30.940529459304962,dark,21.6698384857848,dark_fallback,86.0,dark,
755429,rev,31.738291014063407,dark,21.904921821362432,dark_fallback,86.0,dark,
755428,obv,28.239598488065322,dark,21.6698384857848,dark_fallback,86.0,dark,
755428,rev,30.09803893885273,dark,21.904921821362432,dark_fallback,86.0,dark,
755431,obv,31.720968751893672,dark,21.6698384857848,dark_fallback,86.0,dark,
755431,rev,31.33467050675444,dark,21.904921821362432,dark_fallback,86.0,dark,
755432,obv,31.784566638591425,dark,21.6698384857848,dark_fallback,86.0,dark,
755432,rev,30.184092354900272,dark,21.904921821362432,dark_fallback,86.0,dark,
755430,obv,31.192574538123512,dark,21.6698384857848,dark_fallback,86.0,dark,
755430,rev,31.459609180759035,dark,21.904921821362432,dark_fallback,86.0,dark,
755433,obv,30.55293612496933,dark,21.6698384857848,dark_fallback,86.0,dark,
755433,rev,30.226779772419174,dark,21.904921821362432,dark_fallback,86.0,dark,
755434,obv,29.045184500324968,dark,21.6698384857848,dark_fallback,86.0,dark,
755434,rev,30.033364945958763,dark,21.904921821362432,dark_fallback,86.0,dark,
755436,obv,31.664044923156148,dark,21.6698384857848,dark_fallback,86.0,dark,
755436,rev,30.824569008087614,dark,21.904921821362432,dark_fallback,86.0,dark,
755437,obv,32.97183255228906,dark,21.6698384857848,dark_fallback,86.0,dark,
755437,rev,32.31010555901563,dark,21.904921821362432,dark_fallback,86.0,dark,
755435,obv,31.481229243125696,dark,21.6698384857848,dark_fallback,86.0,dark,
755435,rev,28.277598457848608,dark,21.904921821362432,dark_fallback,86.0,dark,
755438,obv,31.99601845748187,dark,21.6698384857848,dark_fallback,86.0,dark,
755438,rev,33.83717951304137,dark,21.904921821362432,dark_fallback,86.0,dark,
755439,obv,31.230970191495476,dark,21.6698384857848,dark_fallback,86.0,dark,
755439,rev,31.315358455163786,dark,21.904921821362432,dark_fallback,86.0,dark,
755441,obv,31.160404662472907,dark,21.6698384857848,dark_fallback,86.0,dark,
755441,rev,30.926431559533984,dark,21.904921821362432,dark_fallback,86.0,dark,
755442,obv,32.17250641367792,dark,21.6698384857848,dark_fallback,86.0,dark,
755442,rev,32.07209139241332,dark,21.904921821362432,dark_fallback,86.0,dark,
755440,obv,30.0160863975315,dark,21.6698384857848,dark_fallback,86.0,dark,
755440,rev,30.136007287583503,dark,21.904921821362432,dark_fallback,86.0,dark,
755443,obv,31.075983523127054,dark,21.6698384857848,dark_fallback,86.0,dark,
755443,rev,29.78774160049939,dark,21.904921821362432,dark_fallback,86.0,dark,
755444,obv,29.045666168885766,dark,21.6698384857848,dark_fallback,86.0,dark,
755444,rev,28.668541681729447,dark,21.904921821362432,dark_fallback,86.0,dark,
755446,obv,30.166361573437488,dark,21.6698384857848,dark_fallback,86.0,dark,
755446,rev,30.63820303794499,dark,21.904921821362432,dark_fallback,86.0,dark,
755448,obv,30.821479869882978,dark,21.6698384857848,dark_fallback,86.0,dark,
755448,rev,29.905881612619037,dark,21.904921821362432,dark_fallback,86.0,dark,
755447,obv,31.021824744335273,dark,21.6698384857848,dark_fallback,86.0,dark,
755447,rev,31.707632879432012,dark,21.904921821362432,dark_fallback,86.0,dark,
755445,obv,31.206361735717028,dark,21.6698384857848,dark_fallback,86.0,dark,
755445,rev,30.915411206273863,dark,21.904921821362432,dark_fallback,86.0,dark,
755450,obv,34.17036087011191,dark,21.6698384857848,dark_fallback,86.0,dark,
755450,rev,34.99792518232305,dark,21.904921821362432,dark_fallback,86.0,dark,
755449,obv,31.4960513956374,dark,21.6698384857848,dark_fallback,86.0,dark,
755449,rev,31.137482507998545,dark,21.904921821362432,dark_fallback,86.0,dark,
755452,obv,29.995618385205457,dark,21.6698384857848,dark_fallback,86.0,dark,
755452,rev,30.847467103449905,dark,21.904921821362432,dark_fallback,86.0,dark,
755453,obv,30.371411077462806,dark,21.6698384857848,dark_fallback,86.0,dark,
755453,rev,30.975983588935073,dark,21.904921821362432,dark_fallback,86.0,dark,
755454,obv,32.40481610368316,dark,21.6698384857848,dark_fallback,86.0,dark,
755454,rev,30.311194686724814,dark,21.904921821362432,dark_fallback,86.0,dark,
755451,obv,31.129680713910155,dark,21.6698384857848,dark_fallback,86.0,dark,
755451,rev,30.870336366754778,dark,21.904921821362432,dark_fallback,86.0,dark,
755455,obv,31.889026393604205,dark,21.6698384857848,dark_fallback,86.0,dark,
755455,rev,32.010842165487475,dark,21.904921821362432,dark_fallback,86.0,dark,
755456,obv,30.98250956432915,dark,21.6698384857848,dark_fallback,86.0,dark,
755456,rev,31.483598900130435,dark,21.904921821362432,dark_fallback,86.0,dark,
755459,obv,30.512455285954402,dark,21.6698384857848,dark_fallback,86.0,dark,
755459,rev,28.447733785926935,dark,21.904921821362432,dark_fallback,86.0,dark,
755458,obv,30.507463698623503,dark,21.6698384857848,dark_fallback,86.0,dark,
755458,rev,29.231369348497612,dark,21.904921821362432,dark_fallback,86.0,dark,
755457,obv,29.631731287022077,dark,21.6698384857848,dark_fallback,86.0,dark,
755457,rev,29.062331386969216,dark,21.904921821362432,dark_fallback,86.0,dark,
755461,obv,30.31143128303307,dark,21.6698384857848,dark_fallback,86.0,dark,
755461,rev,29.75151708428246,dark,21.904921821362432,dark_fallback,86.0,dark,
755460,obv,30.094676182622955,dark,21.6698384857848,dark_fallback,86.0,dark,
755460,rev,29.464986477933138,dark,21.904921821362432,dark_fallback,86.0,dark,
755462,obv,30.31103467066276,dark,21.6698384857848,dark_fallback,86.0,dark,
755462,rev,30.25950370675453,dark,21.904921821362432,dark_fallback,86.0,dark,
755463,obv,30.760369328880966,dark,21.6698384857848,dark_fallback,86.0,dark,
755463,rev,29.97782418834251,dark,21.904921821362432,dark_fallback,86.0,dark,
755464,obv,28.759501359188782,dark,21.6698384857848,dark_fallback,86.0,dark,
755464,rev,27.998080896343904,dark,21.904921821362432,dark_fallback,86.0,dark,
755468,obv,30.950598124174626,dark,21.6698384857848,dark_fallback,86.0,dark,
755468,rev,29.88863733775868,dark,21.904921821362432,dark_fallback,86.0,dark,
755465,obv,30.501878675520004,dark,21.6698384857848,dark_fallback,86.0,dark,
755465,rev,29.485744320108513,dark,21.904921821362432,dark_fallback,86.0,dark,
755470,obv,30.447219485183346,dark,21.6698384857848,dark_fallback,86.0,dark,
755470,rev,29.998856782097548,dark,21.904921821362432,dark_fallback,86.0,dark,
755469,obv,29.77523260492048,dark,21.6698384857848,dark_fallback,86.0,dark,
755469,rev,28.83403751169874,dark,21.904921821362432,dark_fallback,86.0,dark,
755472,obv,31.209522010202154,dark,21.6698384857848,dark_fallback,86.0,dark,
755472,rev,30.10927179943546,dark,21.904921821362432,dark_fallback,86.0,dark,
755473,obv,30.661819444176583,dark,21.6698384857848,dark_fallback,86.0,dark,
755473,rev,30.899425011467766,dark,21.904921821362432,dark_fallback,86.0,dark,
755475,obv,33.47971677615603,dark,21.6698384857848,dark_fallback,86.0,dark,
755475,rev,33.235241397706055,dark,21.904921821362432,dark_fallback,86.0,dark,
755476,obv,30.384892210009973,dark,21.6698384857848,dark_fallback,86.0,dark,
755476,rev,31.722938828052293,dark,21.904921821362432,dark_fallback,86.0,dark,
755477,obv,31.271027340019103,dark,21.6698384857848,dark_fallback,86.0,dark,
755477,rev,30.34939157877667,dark,21.904921821362432,dark_fallback,86.0,dark,
755478,obv,34.6719138910528,dark,21.6698384857848,dark_fallback,86.0,dark,
755478,rev,34.413123910008096,dark,21.904921821362432,dark_fallback,86.0,dark,
755479,obv,29.815863679206544,dark,21.6698384857848,dark_fallback,86.0,dark,
755479,rev,29.712020174666577,dark,21.904921821362432,dark_fallback,86.0,dark,
755480,obv,33.07696409101257,dark,21.6698384857848,dark_fallback,86.0,dark,
755480,rev,32.26129152883647,dark,21.904921821362432,dark_fallback,86.0,dark,
