id,side,contour_idx,roi_px,area_frac_frame,ar@0.25,ar@0.33,ar@0.5,ar@1.0,ar_approx1pct,ar_hull,ar_morph_k17,ar_morph_k19,ar_morph_k21,ar_morph_k23,ar_morph_k25,ar_morph_k27,ar_morph_k29,ar_morph_k35,circ@0.25,circ@0.33,circ@0.5,circ@1.0,circ_approx1pct,circ_hull,circ_morph_k17,circ_morph_k19,circ_morph_k21,circ_morph_k23,circ_morph_k25,circ_morph_k27,circ_morph_k29,circ_morph_k35,trig@0.25,trig@0.33,trig@0.5,trig@1.0,trig_approx1pct,trig_hull,trig_morph_k17,trig_morph_k19,trig_morph_k21,trig_morph_k23,trig_morph_k25,trig_morph_k27,trig_morph_k29,trig_morph_k35
755539,rev,193,1388590,0.28784,0.7211,0.6729,0.6761,0.7894,0.805,0.9039,,,0.7888,,,,,,0.2591,0.1648,0.1156,0.1453,0.5368,0.9747,,,0.3934,,,,,,True,True,True,True,True,False,,,True,,,,,
755543,obv,159,1437248,0.27598,0.6579,0.6451,0.6173,0.5995,0.5915,0.7186,,,,0.7158,,,,,0.2716,0.1636,0.194,0.1209,0.3286,0.9394,,,,0.4215,,,,,True,True,True,True,True,False,,,,True,,,,
755546,obv,158,1288104,0.27322,0.753,0.6659,0.732,0.7681,0.7695,0.863,,,0.8561,,,,,,0.4538,0.3188,0.2604,0.1767,0.807,0.9651,,,0.4534,,,,,,True,True,True,True,False,False,,,False,,,,,
755563,obv,121,1265706,0.24822,,,0.6732,0.677,0.6663,0.8368,,,0.6928,,,,,,,,0.0812,0.0729,0.2076,0.9571,,,0.1896,,,,,,,,True,True,True,False,,,True,,,,,
755563,obv,201,811805,0.05032,,,,0.1443,0.17,0.3802,,,0.1558,,,,,,,,,0.034,0.2515,0.6667,,,0.1614,,,,,,,,,True,True,False,,,True,,,,,
755572,rev,261,1472540,0.32058,0.8987,0.8692,0.8566,0.8002,0.7526,0.9151,,,0.8285,,,,,,0.7153,0.6824,0.5276,0.1059,0.2453,0.9852,,,0.3043,,,,,,False,False,False,True,True,False,,,True,,,,,
755584,rev,187,1278000,0.26549,0.8235,0.8199,0.7815,0.7712,0.7753,0.8895,,0.7696,,,,,,,0.6812,0.4932,0.42,0.1485,0.5573,0.9809,,0.3295,,,,,,,False,True,True,True,True,False,,True,,,,,,
755593,obv,208,1595026,0.36412,0.8136,0.7986,0.8102,0.8324,0.8289,0.9029,,,,0.8437,,,,,0.5723,0.2886,0.3147,0.1793,0.6021,0.987,,,,0.5834,,,,,True,True,True,True,True,False,,,,True,,,,
755598,obv,346,1548344,0.3364,0.7645,0.7482,0.756,0.7406,0.7222,0.8466,,,,0.7856,,,,,0.3443,0.3991,0.3112,0.1273,0.3593,0.9668,,,,0.3264,,,,,True,True,True,True,True,False,,,,True,,,,
755602,obv,266,1444446,0.21753,0.7066,0.5969,0.6187,0.4977,0.5846,0.8289,,,,0.6268,,,,,0.7164,0.1276,0.0941,0.0167,0.1287,0.9614,,,,0.2214,,,,,False,True,True,True,True,False,,,,True,,,,
755606,obv,439,2098500,0.49017,0.7062,0.7321,0.6499,0.6834,0.6399,0.8262,,,,,,,0.7533,,0.7097,0.2109,0.1143,0.0516,0.2043,0.9493,,,,,,,0.2289,,False,True,True,True,True,False,,,,,,,True,
755609,obv,226,1407726,0.32504,0.9046,0.8233,0.8102,0.8131,0.795,0.8748,,,0.8982,,,,,,0.7528,0.5894,0.436,0.2323,0.7437,0.9754,,,0.5741,,,,,,False,True,True,True,False,False,,,False,,,,,
755615,rev,273,1904768,0.34515,0.7076,0.7059,0.6528,0.6158,0.5414,0.8323,,,,,0.6342,,,,0.7206,0.6661,0.0598,0.0239,0.1493,0.9702,,,,,0.1228,,,,False,False,True,True,True,False,,,,,True,,,
755622,rev,167,1895865,0.41475,0.6916,0.8065,0.5848,0.7059,0.6906,0.7901,,,,,0.7454,,,,0.1283,0.3582,0.0527,0.125,0.5033,0.9595,,,,,0.4178,,,,True,True,True,True,True,False,,,,,True,,,
755626,rev,276,1895859,0.0705,,,,0.1274,0.2046,0.8175,,,,,0.1274,,,,,,,0.0153,0.1016,0.9499,,,,,0.1204,,,,,,,True,True,False,,,,,True,,,
755630,rev,205,1369420,0.31415,,0.7403,0.6539,0.847,0.8175,0.9127,,,0.8616,,,,,,,0.2126,0.1382,0.2267,0.3663,0.9865,,,0.7819,,,,,,,True,True,True,True,False,,,False,,,,,
755630,rev,395,2095500,0.15152,0.666,,,0.208,0.2964,0.8246,,,,,,,0.2168,,0.3202,,,0.0215,0.1659,0.939,,,,,,,0.0981,,True,,,True,True,False,,,,,,,True,
755635,obv,303,1784135,0.10864,0.1614,,,0.1774,0.2202,0.8038,,,,,,0.1771,,,0.0761,,,0.0237,0.1461,0.9244,,,,,,0.0757,,,True,,,True,True,False,,,,,,True,,
755638,obv,359,2094000,0.49668,0.8099,0.7945,0.795,0.7696,0.7821,0.8769,,,,,,0.8034,,,0.6101,0.4721,0.2259,0.0919,0.3251,0.9647,,,,,,0.4252,,,True,True,True,True,True,False,,,,,,True,,
755641,obv,310,1982200,0.3899,0.8902,0.8735,0.8903,0.6233,0.3873,0.8403,,,,,,0.8308,,,0.6649,0.6242,0.5968,0.0235,0.0652,0.961,,,,,,0.4165,,,False,False,False,True,True,False,,,,,,True,,
755644,rev,124,2160000,0.71373,0.7103,0.7128,0.7149,0.6398,0.6385,0.7167,,,,,,,,0.6537,0.7157,0.6709,0.6115,0.0892,0.2743,0.8677,,,,,,,,0.3581,False,False,True,True,True,False,,,,,,,,True
755657,rev,472,2001000,0.4404,0.7005,0.7086,0.657,0.6325,0.4698,0.8197,,,,,,,0.7549,,0.7223,0.662,0.132,0.0273,0.1303,0.9626,,,,,,,0.3093,,False,False,True,True,True,False,,,,,,,True,
755669,obv,217,1541913,0.3094,0.7108,0.6904,0.7241,0.7173,0.7282,0.851,,,,0.712,,,,,0.2789,0.2001,0.1772,0.0706,0.4459,0.9665,,,,0.2232,,,,,True,True,True,True,True,False,,,,True,,,,
755675,obv,483,1756894,0.37636,0.7056,0.7137,0.6394,0.759,0.7266,0.8613,,,,0.822,,,,,0.7265,0.6731,0.0413,0.1094,0.4138,0.971,,,,0.5179,,,,,False,False,True,True,True,False,,,,True,,,,
755680,obv,141,1480605,0.23053,0.752,0.8667,0.7892,0.5817,0.609,0.9236,,,0.585,,,,,,0.1464,0.3322,0.1304,0.0428,0.1614,0.9881,,,0.2036,,,,,,True,False,True,True,True,False,,,True,,,,,
755683,rev,228,1339800,0.27597,,,0.6485,0.7265,0.6735,0.8392,,,0.7218,,,,,,,,0.0683,0.1004,0.4359,0.9754,,,0.3144,,,,,,,,True,True,True,False,,,True,,,,,
755683,rev,412,1716156,0.088,,,,0.1451,0.172,0.5976,,,,,,0.1516,,,,,,0.027,0.1343,0.8273,,,,,,0.1273,,,,,,True,True,False,,,,,,True,,
755691,rev,93,2160000,0.789,0.7144,0.7151,0.718,0.6989,0.7085,0.7302,,,,,,,,0.7015,0.7255,0.6794,0.5795,0.2416,0.7208,0.8697,,,,,,,,0.694,False,False,True,True,False,False,,,,,,,,False
