house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,control.sliverd3_pairs,control.sliverd3_contour_px,control.sliverd3_contour_frac,control.sliverd3_circle_px,control.sliverd3_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac,auto.sliverd3_pairs,auto.sliverd3_contour_px,auto.sliverd3_contour_frac,auto.sliverd3_circle_px,auto.sliverd3_circle_frac
cng_feature,Auction 91,736499,215372,500,233,1,0.8153,0.70368,2,1,1,"0,0,244,233;237,0,256,233",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,3,"0,1,245,228;292,17,162,161",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736510,215378,500,248,1,0.8043,0.82392,2,1,1,"0,0,249,248;241,0,246,244",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"258,0,242,245;21,4,224,224",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736523,215385,500,250,1,0.84981,0.84233,2,1,1,"0,0,250,246;234,10,242,240",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"241,15,259,221;5,7,232,232",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736534,215391,500,253,1,0.82016,0.86154,2,1,1,"0,4,251,249;242,0,254,242",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,0,240,252;245,5,255,243",2,0,0.0,5,0.00011,2,0,0.0,95,0.00207
cng_feature,Auction 91,736545,215397,500,238,1,0.81428,0.85478,2,1,1,"0,0,236,238;248,0,252,238",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"248,0,252,238;0,0,242,238",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736556,215403,500,252,1,0.77529,0.87876,2,1,1,"0,0,245,247;233,0,267,252",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,3,243,245;248,0,252,249",2,0,0.0,0,0.0,2,0,0.0,23,0.00052
cng_feature,Auction 91,736567,215409,500,238,1,0.74435,0.85717,2,1,1,"0,0,255,238;260,0,240,238",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"252,5,248,227;4,5,231,232",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736577,215415,500,245,1,0.80314,0.90867,2,1,1,"0,0,254,245;243,0,257,245",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"250,0,250,245;0,0,245,245",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736590,215422,500,256,1,0.86842,0.91323,2,1,1,"0,0,260,256;238,0,262,256",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,0,243,256;250,6,250,245",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736601,215428,500,242,1,0.91043,0.83968,2,1,1,"0,0,251,242;247,0,246,242",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"248,4,249,235;3,0,234,239",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736612,215434,500,250,1,0.76496,0.88069,2,1,1,"0,0,251,250;244,0,256,248",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"251,0,249,250;11,6,235,235",2,0,0.0,0,0.0,2,0,0.0,52,0.0012
