house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac
leu,75,689012,2270,1200,590,1,0.88382,0.8646,2,1,1,"39,0,600,590;601,0,599,590",2,0,0.0,0,0.0,2,0,2,"610,18,581,563;9,29,592,550",2,0,0.0,1096,0.00434
leu,75,689031,2289,1179,600,1,0.90419,0.84418,2,1,1,"4,6,604,594;567,0,600,590",2,0,0.0,0,0.0,2,0,2,"9,17,574,570;593,12,577,579",2,0,0.0,73,0.00029
leu,75,689050,2308,1200,586,1,0.9161,0.99705,2,0,2,"598,13,592,561;10,16,586,561",2,1,0.0,1,0.0,2,0,2,"603,14,587,560;10,16,582,561",2,0,0.0,0,0.0
leu,75,689069,2327,1200,592,0,0.90744,0.99411,2,0,2,"10,9,579,573;600,18,591,561",2,0,0.0,0,0.0,2,0,2,"10,9,579,573;600,18,591,561",2,0,0.0,0,0.0
leu,75,689088,2346,1200,576,0,0.91516,0.99466,2,0,2,"605,10,586,557;10,24,584,537",2,0,0.0,0,0.0,2,0,2,"605,10,586,557;10,24,584,537",2,0,0.0,0,0.0
leu,75,689106,2364,1200,592,0,0.91334,0.9983,2,0,2,"606,11,584,572;9,14,584,566",2,0,0.0,76,0.0003,2,0,2,"606,11,584,572;9,14,584,566",2,0,0.0,76,0.0003
leu,75,689125,2383,1200,565,0,0.91567,0.99643,2,0,2,"607,11,584,544;9,11,587,545",2,0,0.0,0,0.0,2,0,2,"607,11,584,544;9,11,587,545",2,0,0.0,0,0.0
leu,75,689144,2402,1200,588,1,0.9076,0.86447,2,1,1,"0,0,593,588;612,0,588,588",2,0,0.0,0,0.0,2,0,2,"609,10,582,569;9,13,588,563",2,0,0.0,0,0.0
leu,75,689163,2421,1200,572,1,0.91945,0.99762,2,0,2,"9,12,585,549;603,10,588,553",2,0,0.0,45,0.00018,2,0,2,"9,12,583,549;604,10,587,553",2,0,0.0,39,0.00016
leu,75,689181,2439,1200,589,0,0.91532,0.99463,2,0,2,"11,19,583,559;605,18,585,559",2,0,0.0,196,0.00076,2,0,2,"11,19,583,559;605,18,585,559",2,0,0.0,196,0.00076
leu,75,689200,2458,1142,600,0,0.90807,0.99831,2,0,2,"10,16,557,575;579,14,553,574",2,0,0.0,144,0.0006,2,0,2,"10,16,557,575;579,14,553,574",2,0,0.0,144,0.0006
leu,75,689219,2477,1200,581,0,0.92247,0.99423,2,0,2,"9,14,587,554;608,9,583,563",2,0,0.0,0,0.0,2,0,2,"9,14,587,554;608,9,583,563",2,0,0.0,0,0.0
leu,75,689238,2496,1178,600,1,0.91557,0.99692,2,0,2,"588,9,581,581;9,16,577,569",2,1,0.0,1,0.0,2,0,2,"592,9,577,581;9,16,573,569",2,0,0.0,0,0.0
leu,75,689256,2514,1197,600,1,0.89222,0.81028,2,1,1,"0,0,595,580;589,0,594,594",2,0,0.0,0,0.0,2,0,2,"10,14,586,577;606,16,582,573",2,0,0.0,642,0.00248
leu,75,689275,2533,1181,600,1,0.92061,0.88249,2,1,1,"0,0,595,593;567,0,614,600",2,0,0.0,0,0.0,2,0,2,"605,9,567,582;10,14,585,573",2,0,0.0,0,0.0
leu,75,689294,2552,1200,547,0,0.91033,0.9975,2,0,2,"600,11,592,528;9,13,581,522",2,0,0.0,0,0.0,2,0,2,"600,11,592,528;9,13,581,522",2,0,0.0,0,0.0
leu,75,689313,2571,1177,600,1,0.9588,0.91008,2,1,1,"0,0,616,600;559,12,618,588",2,0,0.0,0,0.0,2,0,2,"594,11,575,582;8,16,575,573",2,0,0.0,0,0.0
leu,75,689331,2589,1200,591,1,0.91403,0.9957,2,0,2,"604,13,587,569;10,19,592,555",2,1,0.0,44,0.00017,2,0,2,"609,13,582,569;10,19,587,555",2,0,0.0,31,0.00012
leu,75,689350,2608,1200,571,1,0.90558,0.99427,2,0,2,"27,19,554,554;632,8,553,553",2,0,0.0,0,0.0,2,0,2,"632,8,553,553;28,22,552,551",2,0,0.0,0,0.0
leu,75,689369,2627,1200,568,0,0.90208,0.99551,2,0,2,"9,13,590,544;610,11,581,548",2,0,0.0,0,0.0,2,0,2,"9,13,590,544;610,11,581,548",2,0,0.0,0,0.0
leu,75,689388,2646,1164,600,1,0.91326,0.8658,2,1,1,"0,7,592,593;588,20,576,580",2,0,0.0,0,0.0,2,0,2,"608,11,547,580;19,29,560,560",2,0,0.0,918,0.00372
leu,75,689406,2664,1200,585,0,0.93446,0.9988,2,0,2,"605,13,586,563;9,15,584,560",2,0,0.0,0,0.0,2,0,2,"605,13,586,563;9,15,584,560",2,0,0.0,0,0.0
leu,75,689425,2683,1200,562,1,0.9142,0.99466,2,0,2,"605,10,586,543;9,14,587,538",2,0,0.0,0,0.0,2,0,2,"9,14,586,538;606,10,585,543",2,0,0.0,0,0.0
leu,75,689444,2702,1200,597,1,0.91268,0.89387,2,1,1,"0,0,623,597;580,0,620,597",2,0,0.0,0,0.0,2,0,2,"608,10,583,579;9,12,588,574",2,0,0.0,0,0.0
leu,75,689463,2721,1200,598,1,0.9416,0.91909,2,1,1,"0,0,628,598;584,0,616,598",2,0,0.0,0,0.0,2,0,2,"7,11,589,581;606,16,588,571",2,0,0.0,0,0.0
leu,75,689481,2739,1200,548,1,0.91324,0.78554,2,1,1,"0,0,506,520;588,0,600,548",2,0,0.0,0,0.0,2,0,2,"606,10,586,529;8,10,588,529",2,0,0.0,0,0.0
leu,75,689500,2758,1200,569,0,0.91682,1.0,2,1,1,"0,0,603,569;593,0,604,569",2,0,0.0,0,0.0,2,1,1,"0,0,603,569;593,0,604,569",2,0,0.0,0,0.0
leu,75,689519,2777,1158,600,1,0.94827,0.86915,2,1,1,"10,3,610,597;576,0,582,580",2,0,0.0,0,0.0,2,0,2,"588,13,562,580;8,18,576,565",2,0,0.0,0,0.0
leu,75,689538,2796,1166,600,0,0.96747,0.99813,2,0,2,"592,13,565,577;8,12,571,579",2,0,0.0,37,0.00015,2,0,2,"592,13,565,577;8,12,571,579",2,0,0.0,37,0.00015
leu,75,689557,2815,1200,564,1,0.94957,0.86473,2,1,1,"0,0,602,564;597,0,600,564",2,0,0.0,0,0.0,2,0,2,"9,13,586,543;604,19,588,537",2,0,0.0,0,0.0
leu,75,689575,2833,1190,600,1,0.92152,0.88195,2,1,1,"27,0,600,598;592,0,598,600",2,0,0.0,0,0.0,2,0,2,"9,17,581,573;600,16,581,569",2,0,0.0,0,0.0
leu,75,689594,2852,1200,584,1,0.95449,0.84995,2,1,1,"0,0,600,584;596,0,604,578",2,0,0.0,0,0.0,2,0,2,"612,12,581,565;8,15,593,560",2,0,0.0,52,0.0002
leu,75,689613,2871,1170,600,1,0.96318,0.87413,2,1,1,"7,0,608,582;567,0,603,600",2,0,0.0,0,0.0,2,0,2,"593,14,570,577;8,16,573,576",2,0,0.0,1601,0.00623
leu,75,689632,2890,1200,578,1,0.97682,0.80245,2,1,1,"65,0,552,534;609,0,591,578",2,0,0.0,0,0.0,2,0,2,"606,8,587,564;7,18,589,545",2,0,0.0,0,0.0
leu,75,689650,2908,1200,552,1,0.95716,0.99874,2,0,2,"601,12,590,532;9,13,582,528",2,0,0.0,0,0.0,2,0,2,"602,12,589,532;9,13,582,528",2,0,0.0,0,0.0
leu,75,689669,2927,1161,600,1,0.97555,0.89764,2,1,1,"0,0,606,600;537,6,598,594",2,0,0.0,0,0.0,2,0,2,"575,27,578,551;8,14,558,578",2,0,0.0,0,0.0
leu,75,689688,2946,1200,519,0,0.97238,0.99909,2,0,2,"603,11,586,498;9,14,583,494",2,0,0.0,110,0.00049,2,0,2,"603,11,586,498;9,14,583,494",2,0,0.0,110,0.00049
leu,75,689707,2965,1200,589,1,0.88974,0.91054,2,1,1,"2,0,634,589;596,0,604,589",2,0,0.0,0,0.0,2,0,2,"8,11,588,570;604,22,588,559",2,0,0.0,3,1e-05
leu,75,689725,2983,1200,566,1,0.92717,0.87777,2,1,1,"0,0,607,566;576,0,610,566",2,0,0.0,0,0.0,2,0,2,"8,11,588,546;605,13,588,544",2,0,0.0,50,0.0002
leu,75,689744,3002,1200,575,1,0.91335,0.85908,2,1,1,"0,0,608,575;581,0,602,570",2,0,0.0,0,0.0,2,0,2,"604,10,589,558;7,12,589,552",2,0,0.0,0,0.0
leu,75,689763,3021,1112,600,0,0.92323,0.99807,2,0,2,"568,10,537,583;7,28,553,550",2,0,0.0,4555,0.01939,2,0,2,"568,10,537,583;7,28,553,550",2,0,0.0,4555,0.01942
leu,75,689782,3040,1200,596,1,0.9315,0.92829,2,1,1,"0,0,623,596;566,0,634,596",2,0,0.0,0,0.0,2,0,2,"604,16,589,569;8,14,587,574",2,0,0.0,137,0.00052
leu,75,689800,3058,1171,600,1,0.93185,0.92839,2,1,1,"0,0,608,600;555,0,616,600",2,0,0.0,0,0.0,2,0,2,"595,17,569,570;9,9,577,583",2,0,0.0,12,5e-05
leu,75,689819,3077,1200,559,1,0.93372,0.82524,2,1,1,"0,0,572,549;617,0,583,559",2,0,0.0,0,0.0,2,0,2,"601,9,591,542;8,12,583,537",2,0,0.0,111,0.00045
leu,75,689838,3096,1181,600,1,0.92713,0.91356,2,1,1,"0,0,612,600;568,0,613,593",2,0,0.0,0,0.0,2,0,2,"595,11,578,581;8,11,577,579",2,0,0.0,0,0.0
leu,75,689857,3115,1200,564,1,0.92118,0.88314,2,1,1,"0,0,605,564;587,0,606,564",2,0,0.0,0,0.0,2,0,2,"8,12,595,542;612,8,581,548",2,0,0.0,94,0.00038
leu,75,689875,3133,1200,589,1,0.9136,0.85835,2,1,1,"19,0,592,577;600,0,600,589",2,0,0.0,0,0.0,2,0,2,"605,9,586,571;9,13,585,564",2,0,0.0,0,0.0
leu,75,689894,3152,1200,587,0,0.96123,0.99853,2,0,2,"608,16,577,556;16,19,576,552",2,0,0.0,0,0.0,2,0,2,"608,16,577,556;16,19,576,552",2,0,0.0,0,0.0
leu,75,689913,3171,1200,600,1,0.94329,0.82291,2,1,1,"32,3,582,582;601,0,592,575",2,0,0.0,0,0.0,2,0,2,"9,11,587,580;618,31,552,552",2,0,0.0,0,0.0
leu,75,689932,3190,1195,600,0,0.94131,0.99146,2,0,2,"597,15,588,572;10,11,575,579",2,0,0.0,0,0.0,2,0,2,"597,15,588,572;10,11,575,579",2,0,0.0,0,0.0
leu,75,689950,3208,1200,567,1,0.98111,0.8246,2,1,1,"0,0,566,566;581,0,574,567",2,0,0.0,0,0.0,2,0,2,"591,27,601,520;8,15,572,544",2,0,0.0,0,0.0
leu,75,689969,3227,1200,526,1,0.97053,0.80349,2,1,1,"19,0,550,526;618,0,564,526",2,0,0.0,0,0.0,2,0,2,"9,10,586,507;605,9,587,508",2,0,0.0,0,0.0
leu,75,689988,3246,1131,600,1,0.91567,0.87743,2,1,1,"0,0,584,596;539,28,592,572",2,0,0.0,0,0.0,2,0,2,"563,13,560,573;8,9,545,583",2,0,0.0,6251,0.02523
leu,75,690007,3265,1200,546,1,0.89686,0.84561,2,1,1,"0,0,570,546;620,0,580,546",2,0,0.0,0,0.0,2,0,2,"605,14,587,522;8,16,587,522",2,0,0.0,0,0.0
leu,75,690026,3284,1200,574,0,0.95028,1.0,2,1,1,"8,0,626,574;565,0,598,574",2,0,0.0,0,0.0,2,1,1,"8,0,626,574;565,0,598,574",2,0,0.0,0,0.0
leu,75,690044,3302,1078,600,0,0.93588,0.99527,2,0,2,"548,14,515,573;15,17,514,569",2,0,0.0,3628,0.01579,2,0,2,"548,14,515,573;15,17,514,569",2,0,0.0,3613,0.01581
leu,75,690063,3321,1200,538,1,0.9213,0.82785,2,1,1,"3,0,578,538;620,0,578,538",2,0,0.0,0,0.0,2,0,2,"605,10,587,520;7,19,589,509",2,0,0.0,0,0.0
leu,75,690082,3340,1200,578,1,0.96109,0.84773,2,1,1,"0,0,567,578;612,0,588,578",2,0,0.0,0,0.0,2,0,2,"8,11,586,559;603,20,589,544",2,0,0.0,0,0.0
leu,75,690101,3359,1193,600,0,0.94385,1.0,2,1,1,"0,0,625,600;574,0,619,600",2,0,0.0,0,0.0,2,1,1,"0,0,625,600;574,0,619,600",2,0,0.0,0,0.0
leu,75,690119,3377,1200,569,1,0.93518,0.80361,2,1,1,"58,4,572,565;608,0,592,569",2,0,0.0,0,0.0,2,0,3,"9,17,587,544;605,21,587,536",2,0,0.0,39,0.00016
leu,75,690138,3396,1200,576,0,0.96956,1.0,2,1,1,"12,0,596,576;583,0,596,576",2,0,0.0,0,0.0,2,1,1,"12,0,596,576;583,0,596,576",2,0,0.0,0,0.0
leu,75,690158,3416,1200,550,1,0.96282,0.90858,2,0,2,"7,15,585,524;599,11,594,533",2,0,0.0,0,0.0,2,0,2,"599,11,594,533;33,22,520,520",2,0,0.0,0,0.0
leu,75,690177,3435,1200,583,1,0.9336,0.94797,2,1,1,"0,0,625,583;583,0,617,583",2,0,0.0,0,0.0,2,0,2,"602,14,590,559;9,24,584,550",2,0,0.0,0,0.0
leu,75,690195,3453,1200,590,1,0.90899,0.90666,2,1,1,"0,0,626,590;590,0,610,590",2,0,0.0,0,0.0,2,0,2,"8,15,589,565;608,10,583,572",2,0,0.0,0,0.0
leu,75,690214,3472,1200,589,1,0.91111,0.93987,2,1,1,"0,0,616,589;565,0,635,589",2,0,0.0,0,0.0,2,0,2,"602,12,590,568;8,11,585,570",2,0,0.0,0,0.0
leu,75,690233,3491,1200,589,0,0.95995,1.0,2,1,1,"0,0,634,589;597,0,603,589",2,0,0.0,0,0.0,2,1,1,"0,0,634,589;597,0,603,589",2,0,0.0,0,0.0
leu,75,690252,3510,1188,600,0,0.94041,0.99945,2,0,2,"9,12,584,579;603,15,577,572",2,0,0.0,0,0.0,2,0,2,"9,12,584,579;603,15,577,572",2,0,0.0,0,0.0
leu,75,690271,3529,1199,573,1,0.95302,0.77195,2,1,1,"0,0,602,573;580,34,538,538",2,0,0.0,0,0.0,2,0,2,"602,10,588,554;9,14,584,546",2,0,0.0,0,0.0
leu,75,690290,3548,1182,600,1,0.92021,0.95091,2,1,1,"0,0,620,600;567,0,615,600",2,0,0.0,0,0.0,2,0,2,"595,10,579,581;9,11,576,579",2,0,0.0,449,0.00172
leu,75,690309,3567,1150,600,1,0.95635,0.85351,2,1,1,"0,3,602,597;576,7,574,590",2,0,0.0,0,0.0,2,0,2,"580,11,564,583;6,15,566,571",2,0,0.0,1359,0.0054
leu,75,690328,3586,1200,593,1,0.94327,0.9953,3,0,3,"603,19,586,567;23,-20,557,555;330,539,41,41",6,0,0.0,0,0.0,3,0,3,"603,19,586,567;24,-21,555,554;331,540,40,40",6,0,0.0,0,0.0
leu,75,690346,3604,1105,600,1,0.94906,0.77771,2,1,1,"0,63,510,528;575,46,530,532",2,0,0.0,0,0.0,2,0,2,"567,48,528,528;20,63,518,519",2,0,0.0,0,0.0
leu,75,690365,3623,1200,582,1,0.9281,0.99542,2,0,2,"0,12,599,558;606,7,594,575",2,0,0.0,71,0.00027,2,0,3,"6,12,593,558;606,7,588,569",2,0,0.0,71,0.00027
leu,75,690384,3642,1200,586,1,0.94339,0.96783,3,0,5,"41,45,535,535;629,55,527,527;786,28,32,31",6,0,0.0,0,0.0,3,0,6,"41,46,535,535;635,71,512,512;787,29,30,30",6,0,0.0,0,0.0
leu,75,690403,3661,1200,799,1,0.93732,0.97004,3,0,4,"156,31,655,749;767,134,280,280;781,513,205,227",6,2373,0.03861,17462,0.28414,3,0,4,"156,39,655,741;779,140,263,262;781,513,205,227",6,1181,0.02187,13864,0.25676
leu,75,690421,3679,1200,799,0,0.95504,0.88946,2,0,2,"26,41,1117,758;1165,0,35,103",2,0,0.0,0,0.0,2,0,2,"26,41,1117,758;1165,0,35,103",2,0,0.0,0,0.0
leu,75,690440,3698,1200,799,1,0.94156,0.97475,2,0,3,"435,201,564,564;44,317,350,349",2,0,0.0,0,0.0,2,0,4,"434,199,565,565;43,305,354,354",2,0,0.0,0,0.0
leu,75,690459,3717,1200,799,1,0.93543,0.82691,5,0,8,"129,225,621,620;783,177,469,469;640,69,294,294;415,47,174,161;55,62,149,172",20,12848,0.18844,12881,0.18996,5,0,9,"132,225,611,611;787,181,460,460;55,62,149,172;426,56,149,149;229,44,146,146",20,0,0.0,0,0.0
leu,75,690478,3736,1200,799,1,0.98468,0.72607,3,0,4,"105,222,514,514;753,387,353,353;731,113,345,345",6,10518,0.11275,10648,0.11418,5,0,6,"106,220,500,500;679,441,251,286;666,159,248,244;939,439,239,243;923,186,229,227",20,0,0.0,739,0.01653
