id,side,contour_idx,area_frac_frame,circularity,area_ratio,enc_r,roi_w,roi_h,roi_px,touches_border,geo_conf,geo_wall_s,geo_cpu_s,hough_ran,hough_found,hough_conf,hough_wall_s,hough_cpu_s,recover_wall_s,recover_cpu_s,final_conf,accepted,branch,iou_vs_seed,radius_ratio,area_ratio_final_vs_seed
755415,obv,3,0.00024,0.2296,0.1634,31.9,64,53,3392,False,0.2631,0.021,0.047,True,False,0.0,0.001,0.004,0.022,0.051,0.2631,True,geo,0.2725,0.7213,3.0267
755415,obv,7,0.00014,0.2794,0.2872,18.5,42,33,1386,False,0.3055,0.015,0.041,True,False,0.0,0.001,0.003,0.016,0.044,0.3055,True,geo,0.4582,0.7138,1.6165
755415,obv,84,0.00024,0.0972,0.0594,53.2,127,48,6096,False,0.3248,0.018,0.042,True,False,0.0,0.001,0.003,0.019,0.045,0.3248,False,geo,,,
755425,rev,6,0.00086,0.1784,0.1941,55.1,114,85,9690,False,0.3458,0.02,0.045,True,False,0.0,0.001,0.004,0.021,0.049,0.3458,True,geo,0.3241,0.6511,2.1101
755425,rev,54,0.0004,0.1238,0.17,40.1,96,51,4896,False,0.3147,0.019,0.045,True,False,0.0,0.001,0.003,0.02,0.047,0.3147,True,geo,0.3361,0.639,2.3054
755425,rev,62,0.0002,0.1759,0.1163,34.1,81,33,2673,False,0.2681,0.031,0.049,True,False,0.0,0.002,0.003,0.033,0.052,0.2681,True,geo,0.2415,0.5748,2.6843
755425,rev,177,0.00046,0.3078,0.2885,33.0,77,50,3850,False,0.3816,0.036,0.051,True,False,0.0,0.002,0.003,0.038,0.054,0.3816,True,geo,0.4975,0.6771,1.5112
755425,rev,204,0.32592,0.2153,0.7936,531.4,1151,1228,1413428,False,0.5921,0.039,0.051,True,True,0.1856,31.647,96.361,31.686,96.412,0.5921,True,geo,0.9162,0.8952,1.0073
755425,rev,223,0.00018,0.1147,0.0867,37.6,88,39,3432,False,0.2561,0.015,0.041,True,False,0.0,0.001,0.003,0.016,0.044,0.2561,True,geo,0.112,0.7908,6.9247
755433,rev,7,0.00022,0.2455,0.1198,35.6,86,28,2408,False,0.3197,0.019,0.045,True,False,0.0,0.001,0.003,0.019,0.048,0.3197,True,geo,0.2165,0.67,3.5714
755433,rev,12,0.00103,0.251,0.2384,54.5,117,92,10764,False,0.3548,0.02,0.044,True,False,0.0,0.001,0.004,0.021,0.049,0.3548,True,geo,0.4121,0.6772,1.8603
755433,rev,13,0.00132,0.295,0.2793,57.0,121,90,10890,False,0.3607,0.017,0.047,True,False,0.0,0.002,0.004,0.018,0.052,0.3607,True,geo,0.4451,0.6259,1.3557
755433,rev,15,0.0002,0.2735,0.1446,30.9,68,36,2448,False,0.4287,0.015,0.046,True,False,0.0,0.001,0.003,0.016,0.049,0.4287,True,geo,0.2864,0.551,1.9528
755433,rev,23,0.00113,0.307,0.3682,45.9,79,105,8295,False,0.377,0.016,0.045,True,False,0.0,0.001,0.004,0.017,0.049,0.377,True,geo,0.5247,0.7621,1.5224
755433,rev,25,0.00156,0.1876,0.2194,70.0,123,132,16236,False,0.3087,0.016,0.047,True,False,0.0,0.001,0.005,0.018,0.052,0.3087,True,geo,0.393,0.7007,2.1829
755443,obv,5,0.00081,0.2098,0.2116,51.3,113,86,9718,False,0.3503,0.018,0.05,True,False,0.0,0.001,0.004,0.02,0.055,0.3503,True,geo,0.3777,0.6537,1.9505
755443,obv,22,0.00127,0.2454,0.2548,58.5,99,122,12078,False,0.3607,0.016,0.045,True,False,0.0,0.001,0.004,0.017,0.049,0.3607,True,geo,0.3885,0.6687,1.7034
755443,obv,26,0.0012,0.1538,0.1818,67.4,113,135,15255,False,0.3631,0.016,0.045,True,False,0.0,0.001,0.005,0.017,0.05,0.3631,True,geo,0.3491,0.6406,2.1985
755443,obv,76,0.00024,0.0621,0.0433,61.1,86,135,11610,False,0.3695,0.017,0.045,True,False,0.0,0.001,0.005,0.018,0.05,0.3695,True,geo,0.0824,0.6194,8.5595
755443,obv,85,0.00021,0.3695,0.3882,19.2,41,38,1558,False,0.5293,0.015,0.042,True,False,0.0,0.001,0.003,0.016,0.045,0.5293,True,geo,0.5826,0.785,1.4683
755443,obv,143,0.29268,0.1122,0.8229,494.5,1173,1126,1320798,False,0.6333,0.019,0.049,True,True,0.2576,36.667,110.764,36.686,110.813,0.6333,True,geo,0.8623,0.8874,0.9544
755443,obv,151,0.0002,0.153,0.2698,22.3,43,45,1935,False,0.395,0.017,0.046,True,False,0.0,0.001,0.003,0.018,0.049,0.395,True,geo,0.4266,0.6946,1.637
755443,obv,155,0.00065,0.078,0.1379,57.0,124,90,11160,False,0.3619,0.017,0.046,True,False,0.0,0.001,0.005,0.018,0.051,0.3619,True,geo,0.3145,0.6182,2.6796
755452,rev,2,0.00033,0.3007,0.31,27.2,62,45,2790,False,0.376,0.018,0.047,True,False,0.0,0.001,0.003,0.019,0.05,0.376,True,geo,0.5334,0.6935,1.4513
755452,rev,6,0.00038,0.2008,0.2519,32.0,61,61,3721,False,0.3362,0.016,0.046,True,False,0.0,0.001,0.005,0.017,0.05,0.3362,True,geo,0.4169,0.6734,1.7084
755461,rev,4,0.00027,0.2132,0.3206,24.3,56,48,2688,False,0.3563,0.016,0.041,True,False,0.0,0.001,0.004,0.017,0.044,0.3563,True,geo,0.491,0.7334,1.5612
755461,rev,8,0.00043,0.1665,0.173,41.2,84,78,6552,False,0.3018,0.016,0.045,True,False,0.0,0.001,0.004,0.017,0.049,0.3018,True,geo,0.2165,0.7397,3.0341
755461,rev,16,0.00024,0.1283,0.1474,33.6,57,56,3192,False,0.321,0.016,0.04,True,False,0.0,0.001,0.003,0.018,0.043,0.321,True,geo,0.3355,0.5941,2.2507
755461,rev,21,0.00041,0.0998,0.1607,41.7,73,85,6205,False,0.3075,0.014,0.04,True,False,0.0,0.001,0.004,0.015,0.044,0.3075,True,geo,0.2438,0.6305,2.3628
