house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,auto.bbox_identical,auto.ndets_delta,control.weld,auto.weld
cng_feature,Auction 91,736534,215391,500,253,2,2,6.32,7.0,0.861|0.885,7,success,2,"0,4,251,249;242,0,254,242",1,1,split,1,,4.0278,3,success,2,"0,0,240,252;245,5,255,243",0,0,,2,7.0,0.0072,0,0,1,0
cng_feature,Auction 91,736545,215397,500,238,2,2,7.0,7.0,0.796|0.41,7,success,2,"0,0,236,238;248,0,252,238",1,1,split,1,,3.6006,3,success,2,"248,0,252,238;0,0,242,238",0,0,,2,7.0,0.0078,0,0,1,0
cng_feature,Auction 91,736556,215403,500,252,2,2,6.0,6.0,0.87|0.309,7,success,2,"0,0,245,247;233,0,267,252",1,1,split,1,,3.9512,3,success,2,"0,3,243,245;248,0,252,249",0,0,,2,6.0,0.0102,0,0,1,0
cng_feature,Auction 91,736567,215409,500,238,2,2,6.0,6.0,0.421|0.052,7,success,2,"0,0,255,238;260,0,240,238",1,1,split,1,,3.467,3,success,2,"252,5,248,227;4,5,231,232",0,0,,2,6.0,0.152,0,0,1,0
cng_feature,Auction 91,736577,215415,500,245,2,2,6.32,6.0,0.868|0.881,7,success,2,"0,0,254,245;243,0,257,245",1,1,split,1,,3.6512,3,success,2,"250,0,250,245;0,0,245,245",0,0,,2,6.0,0.0069,0,0,1,0
cng_feature,Auction 91,736590,215422,500,256,2,2,7.0,8.0,0.442|0.403,7,success,2,"0,0,260,256;238,0,262,256",1,1,split,1,,4.7096,3,success,2,"0,0,243,256;250,6,250,245",0,0,,2,8.0,0.0111,0,0,1,0
cng_feature,Auction 91,736601,215428,500,242,2,2,13.0,12.17,0.877|0.862,7,success,2,"0,0,251,242;247,0,246,242",1,1,split,1,,3.9869,3,success,2,"248,4,249,235;3,0,234,239",0,0,,2,12.17,0.0087,0,0,1,0
cng_feature,Auction 91,736612,215434,500,250,2,2,8.06,8.94,0.541|0.219,7,success,2,"0,0,251,250;244,0,256,248",1,1,split,1,,3.9969,3,success,2,"251,0,249,250;11,6,235,235",0,0,,2,8.94,0.1537,0,0,1,0
cng_feature,Auction 91,736623,215440,500,244,2,2,8.06,9.0,0.895|0.501,7,success,2,"8,4,254,240;256,0,244,237",1,1,split,1,,4.1241,3,success,2,"0,0,247,244;255,5,245,235",0,0,,2,9.0,0.0101,0,0,1,0
cng_feature,Auction 91,736634,215446,500,251,2,2,8.0,8.25,0.875|0.53,7,success,2,"14,0,230,218;258,5,242,242",1,1,split,1,,4.3596,3,success,2,"253,9,244,242;0,3,246,244",0,0,,2,8.25,0.0091,0,0,1,0
cng_feature,Auction 91,736644,215452,500,243,2,2,7.0,7.0,0.625|0.472,7,success,2,"0,4,225,234;240,3,254,240",1,1,split,1,,4.1255,3,success,2,"259,6,241,237;0,0,253,243",0,0,,2,7.0,0.0096,0,0,1,0
cng_feature,Auction 91,736657,215459,500,242,2,2,7.28,6.08,0.818|0.633,7,success,2,"4,0,234,231;261,3,239,239",1,1,split,1,,3.9399,3,success,2,"0,6,250,230;255,0,245,242",0,0,,2,6.08,0.009,0,0,1,0
cng_feature,Auction 91,736668,215465,500,242,2,2,6.0,7.0,0.839|0.068,7,success,2,"8,10,242,232;272,2,218,218",1,1,split,2,4.12,3.1514,3,success,2,"258,0,242,242;17,5,226,226",0,0,,2,7.0,0.0648,0,0,0,0
cng_feature,Auction 91,736679,215471,500,248,2,2,9.85,12.04,0.855|0.215,7,success,2,"0,0,240,248;244,0,254,248",1,1,split,1,,4.6463,3,success,2,"0,0,239,245;253,11,233,233",0,0,,2,12.04,0.233,0,0,1,0
cng_feature,Auction 91,736690,215477,500,248,2,2,9.06,10.0,0.856|0.856,7,success,2,"2,2,230,230;274,8,226,226",1,1,split,1,,3.805,3,success,2,"0,11,249,226;258,0,242,248",0,0,,2,10.0,0.0093,0,0,1,0
cng_feature,Auction 91,736702,215483,500,246,2,2,7.0,7.0,0.863|0.508,7,success,2,"0,0,248,246;239,0,261,246",1,1,split,1,,4.0553,3,success,2,"252,0,248,246;0,9,246,233",0,0,,2,7.0,0.008,0,0,1,0
cng_feature,Auction 91,736712,215489,500,224,2,2,11.66,13.34,0.35|0.096,7,success,2,"257,10,243,204;12,4,219,219",0,0,,2,13.34,0.0538,3,success,2,"14,8,216,216;279,16,201,200",0,0,,2,13.34,0.1034,0,0,0,0
cng_feature,Auction 91,736725,215496,500,217,3,4,10.0,65.0,0.783|0.107,7,success,2,"25,0,228,217;315,3,185,196",1,1,split,1,,2.0019,3,success,2,"0,8,246,200;288,18,180,180",0,0,,2,11.0,0.0645,0,0,0,0
cng_feature,Auction 91,736737,215502,500,263,2,2,19.0,19.24,0.841|0.424,7,success,2,"255,0,245,263;0,11,247,242",0,0,,2,19.24,0.0086,3,success,2,"3,11,244,242;250,21,238,238",0,0,,2,19.24,0.1343,0,0,0,0
cng_feature,Auction 91,736748,215508,500,237,2,2,8.06,8.54,0.716|0.063,7,success,2,"0,0,255,237;237,0,263,237",1,1,split,1,,3.8165,3,success,2,"0,5,247,232;262,10,227,228",0,0,,2,8.54,0.1529,0,0,1,0
