house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,0.0042.kernel,0.0042.status,0.0042.ndets,0.0042.bboxes,0.0042.hough,0.0042.tcr_triggered,0.0042.tcr_status,0.0042.blobs_post_close,0.0042.gap_post_close,0.0042.seconds,auto.bbox_identical,auto.ndets_delta,0.0042.bbox_identical,0.0042.ndets_delta,control.weld,auto.weld,0.0042.weld
leu,75,687005,263,1200,597,2,2,11.0,11.0,0.828|0.347,7,success,2,"0,0,602,597;571,0,616,587",1,1,split,1,,52.1257,3,success,2,"598,16,595,574;8,9,581,578",0,0,,2,11.0,0.0331,5,success,2,"598,13,595,577;8,9,581,578",0,0,,2,11.0,0.0367,0,0,0,0,1,0,0
leu,75,687024,282,1200,593,2,2,10.0,11.0,0.779|0.195,7,success,2,"0,0,565,569;592,0,608,593",1,1,split,1,,52.4474,3,success,2,"606,12,587,574;8,20,589,555",0,0,,2,11.0,0.0413,5,success,2,"606,12,587,574;8,20,589,555",0,0,,2,11.0,0.0353,0,0,0,0,1,0,0
leu,75,687043,301,1200,589,2,2,11.0,11.0,0.582|0.717,7,success,2,"0,0,605,589;577,0,623,589",1,1,split,1,,53.0725,3,success,2,"608,11,585,571;8,17,591,556",0,0,,2,11.0,0.0311,5,success,2,"608,8,585,574;8,17,591,556",0,0,,2,11.05,0.0301,0,0,0,0,1,0,0
leu,75,687061,319,1200,584,3,3,11.0,11.0,0.695|0.447,7,success,2,"0,0,614,584;602,0,598,580",1,1,split,1,,53.3232,3,success,2,"603,13,590,565;7,12,588,560",0,0,,2,11.0,0.0363,5,success,2,"603,12,590,566;7,12,588,560",0,0,,2,11.05,0.0411,0,0,0,0,0,0,0
leu,75,687080,338,1200,579,2,2,10.0,10.0,0.723|0.128,7,success,2,"0,0,575,579;615,0,585,579",1,1,split,1,,48.7335,3,success,2,"601,9,592,563;9,15,583,548",0,0,,2,10.0,0.0496,5,success,2,"601,9,592,563;9,15,583,548",0,0,,2,10.05,0.0288,0,0,0,0,1,0,0
leu,75,687099,357,1187,600,3,2,10.77,11.18,0.826|0.492,7,success,2,"0,0,625,600;577,0,610,600",1,1,split,1,,50.5859,3,success,2,"593,20,587,574;8,21,577,565",0,0,,2,11.18,0.0464,5,success,2,"590,20,590,574;8,21,581,565",0,0,,2,2.0,0.0314,0,0,0,0,1,0,0
leu,75,687118,376,1196,600,4,5,10.0,10.0,0.635|0.359,7,success,2,"0,0,601,600;588,0,608,600",1,1,split,1,,51.9645,3,success,2,"606,9,583,584;8,12,589,575",0,0,,2,10.0,0.035,5,success,2,"8,12,589,575;606,9,583,584",0,0,,2,10.0,0.0347,0,0,0,0,0,0,0
leu,75,687136,394,1200,588,2,2,9.0,9.0,0.781|0.435,7,success,2,"0,0,586,588;576,0,624,588",1,1,split,1,,49.8882,3,success,2,"600,18,594,564;9,17,583,557",0,0,,2,9.0,0.028,5,success,2,"0,0,586,588;576,0,624,588",1,1,split,1,,45.0936,0,0,1,0,1,0,1
leu,75,687155,413,1200,562,2,2,9.0,8.25,0.592|0.627,7,success,2,"1,0,586,562;634,0,566,562",1,1,split,1,,35.0547,3,success,2,"611,11,584,546;6,9,598,545",0,0,,2,8.25,0.0367,5,success,2,"1,0,586,562;634,0,566,562",1,1,split,1,,34.6516,0,0,1,0,1,0,1
leu,75,687174,432,1197,600,6,3,14.0,15.0,0.382|0.396,7,success,2,"13,24,585,558;612,15,570,572",0,0,,2,15.0,0.0358,3,success,2,"13,24,585,558;612,15,570,572",0,0,,2,15.0,0.0376,5,success,2,"13,24,585,558;612,15,570,572",0,0,,2,15.0,0.0395,1,0,1,0,0,0,0
leu,75,687193,451,1116,600,2,2,12.0,14.0,0.191|0.138,7,success,2,"9,12,546,580;566,12,541,579",0,0,,2,14.0,0.0286,3,success,2,"9,12,546,580;566,13,541,578",0,0,,2,14.0,0.0367,5,success,2,"9,12,546,580;566,13,541,578",0,0,,2,14.0,0.0368,0,0,0,0,0,0,0
leu,75,687212,470,1198,600,4,3,19.65,19.42,0.212|0.174,7,success,2,"8,32,591,538;615,17,572,575",0,0,,2,19.42,0.0591,3,success,2,"32,53,535,535;640,72,515,516",0,0,,3,19.42,18.8398,5,success,2,"615,17,572,575;8,32,591,538",0,0,,2,19.42,0.0617,0,0,0,0,0,0,0
leu,75,687230,488,1200,600,2,3,14.0,14.0,0.29|0.137,7,success,2,"9,10,581,582;600,31,593,554",0,0,,2,14.0,0.0476,3,success,2,"600,31,593,554;20,36,539,539",0,0,,2,14.0,13.7001,5,success,2,"9,10,581,582;600,31,593,554",0,0,,2,14.0,0.0419,0,0,1,0,0,0,0
leu,75,687249,507,1200,597,3,2,19.0,19.03,0.798|0.193,7,success,2,"15,21,594,556;627,24,558,557",0,0,,2,19.03,0.0382,3,success,2,"15,21,594,556;627,24,558,557",0,0,,2,19.03,0.0494,5,success,2,"15,21,594,556;627,24,558,557",0,0,,2,19.03,0.0334,1,0,1,0,0,0,0
