id,side,h,w,avg_bg,polarity,otsu_t,close_k,n_valid,n_need_recovery,n_will_hough,max_hough_roi_px,scan_wall_s,scan_cpu_s
755410,rev,1440,1500,29.7,BIN,133.0,7,13,13,13,1290172,0.812,1.266
755411,obv,1440,1500,32.54,BIN,120.0,7,12,12,12,1348723,0.536,0.954
755411,rev,1440,1500,31.67,BIN,117.0,7,19,19,19,1509432,1.208,1.829
755412,obv,1440,1500,30.87,BIN,121.0,7,15,15,15,1573936,0.776,1.338
755412,rev,1440,1500,31.33,BIN,116.0,7,11,11,11,1726196,0.976,1.345
755413,obv,1440,1500,30.3,BIN,125.0,7,8,8,8,1554479,0.449,0.766
755413,rev,1440,1500,30.31,BIN,121.0,7,16,16,16,1529326,1.117,1.639
755414,obv,1440,1500,29.22,BIN,128.0,7,13,13,13,1526580,0.659,1.071
755414,rev,1440,1500,29.16,BIN,128.0,7,15,15,15,1386084,0.659,1.205
755415,obv,1440,1500,30.7,BIN,131.0,7,4,3,3,6096,0.215,0.372
755415,rev,1440,1500,30.7,BIN,129.0,7,5,4,4,5040,0.284,0.499
755416,obv,1440,1500,29.7,BIN,125.0,7,6,5,5,6853,0.286,0.523
755416,rev,1440,1500,29.26,BIN,120.0,7,13,13,13,1466172,0.636,1.105
755417,obv,1440,1500,27.42,BIN,122.0,7,8,7,7,62928,0.358,0.634
755417,rev,1440,1500,29.2,BIN,124.0,7,7,6,6,17820,0.334,0.585
755418,obv,1440,1500,31.37,BIN,122.0,7,12,12,12,1454267,0.648,1.108
755418,rev,1440,1500,30.46,BIN,125.0,7,11,11,11,1333735,0.705,1.132
755419,obv,1440,1500,33.1,BIN,116.0,7,13,13,13,1980370,1.75,2.218
755419,rev,1440,1500,32.64,BIN,108.0,7,8,8,8,2160000,1.29,1.6
755420,obv,1440,1500,33.76,BIN,125.0,7,3,3,3,1432114,0.254,0.411
755420,rev,1440,1500,34.53,BIN,132.0,7,1,0,0,0,0.124,0.183
755421,obv,1440,1500,29.63,BIN,129.0,7,7,6,6,8208,0.328,0.582
755421,rev,1440,1500,28.1,BIN,127.0,7,1,0,0,0,0.118,0.183
755422,obv,1440,1500,28.41,BIN,114.0,7,17,17,17,2103000,1.051,1.71
755422,rev,1440,1500,30.72,BIN,114.0,7,30,30,30,1572624,1.377,2.389
755423,obv,1440,1500,32.25,BIN,132.0,7,2,1,1,2967,0.135,0.236
755423,rev,1440,1500,33.07,BIN,133.0,7,1,0,0,0,0.121,0.193
755424,obv,1440,1500,31.05,BIN,133.0,7,1,0,0,0,0.149,0.217
755424,rev,1440,1500,29.7,BIN,132.0,7,1,0,0,0,0.116,0.189
755425,obv,1440,1500,30.59,BIN,122.0,7,7,7,7,1501173,0.535,0.83
755425,rev,1440,1500,30.15,BIN,123.0,7,6,6,6,1413428,0.304,0.55
755426,obv,1440,1500,32.26,BIN,128.0,7,3,3,3,1548708,0.23,0.389
755426,rev,1440,1500,31.53,BIN,131.0,7,5,5,5,1397024,0.682,0.913
755427,obv,1440,1500,28.51,BIN,114.0,7,31,31,31,1592014,1.624,2.465
755427,rev,1440,1500,29.08,BIN,106.0,7,13,13,13,2029500,1.385,1.745
755428,obv,1440,1500,28.21,BIN,123.0,7,10,9,9,55784,0.484,0.873
755428,rev,1440,1500,30.08,BIN,128.0,7,6,5,5,4872,0.305,0.536
755429,obv,1440,1500,30.92,BIN,125.0,7,3,2,2,5940,0.173,0.315
755429,rev,1440,1500,31.71,BIN,119.0,7,9,9,9,1917528,2.323,2.685
755430,obv,1440,1500,31.19,BIN,125.0,7,9,9,9,1516086,0.427,0.779
755430,rev,1440,1500,31.48,BIN,123.0,7,10,10,10,1693770,0.422,0.786
755431,obv,1440,1500,31.72,BIN,122.0,7,7,7,7,1639174,1.487,1.736
755431,rev,1440,1500,31.33,BIN,117.0,7,12,12,12,1925096,0.977,1.376
755432,obv,1440,1500,31.77,BIN,116.0,7,12,11,11,1025433,1.489,1.905
755432,rev,1440,1500,30.18,BIN,116.0,7,22,22,22,1551956,1.41,2.203
755433,obv,1440,1500,30.53,BIN,124.0,7,5,4,4,17967,0.34,0.592
755433,rev,1440,1500,30.19,BIN,123.0,7,7,6,6,16236,0.379,0.663
755434,obv,1440,1500,29.02,BIN,117.0,7,17,17,17,1765457,1.258,1.927
755434,rev,1440,1500,29.98,BIN,114.0,7,17,17,17,1928952,1.738,2.348
755435,obv,1440,1500,31.46,BIN,115.0,7,18,18,18,1981376,1.203,1.847
755435,rev,1440,1500,28.24,BIN,122.0,7,11,11,11,1568546,0.579,1.059
755436,obv,1440,1500,31.65,BIN,132.0,7,9,8,8,1448658,1.117,1.473
755436,rev,1440,1500,30.81,BIN,129.0,7,8,8,8,1206150,1.407,1.763
755437,obv,1440,1500,32.98,BIN,134.0,7,22,19,19,933300,1.276,2.054
755437,rev,1440,1500,32.3,BIN,129.0,7,4,4,4,1543960,1.294,1.424
755438,obv,1440,1500,31.98,BIN,134.0,7,1,0,0,0,0.125,0.191
755438,rev,1440,1500,33.82,BIN,136.0,7,1,0,0,0,0.097,0.158
755439,obv,1440,1500,31.21,BIN,132.0,7,5,5,5,1299519,0.972,1.196
755439,rev,1440,1500,31.29,BIN,134.0,7,1,0,0,0,0.137,0.207
755440,obv,1440,1500,29.99,BIN,131.0,7,5,4,4,32342,0.308,0.516
755440,rev,1440,1500,30.1,BIN,136.0,7,5,5,5,1373496,1.601,1.83
755441,obv,1440,1500,31.14,BIN,126.0,7,11,10,10,18648,0.492,0.903
755441,rev,1440,1500,30.91,BIN,125.0,7,7,6,6,18144,0.44,0.711
755442,obv,1440,1500,32.15,BIN,111.0,7,44,44,44,1975500,3.241,4.829
755442,rev,1440,1500,32.07,BIN,109.0,7,17,16,16,2130000,4.876,5.377
755443,obv,1440,1500,31.06,BIN,130.0,7,8,8,8,1320798,0.381,0.704
755443,rev,1440,1500,29.78,BIN,127.0,7,11,11,11,1367268,0.478,0.874
755444,obv,1440,1500,29.01,BIN,128.0,7,1,0,0,0,0.123,0.187
755444,rev,1440,1500,28.62,BIN,130.0,7,1,0,0,0,0.086,0.141
755445,obv,1440,1500,31.18,BIN,110.0,7,35,35,35,1975500,2.895,3.95
755445,rev,1440,1500,30.86,BIN,110.0,7,40,39,39,1598546,3.794,5.047
755446,obv,1440,1500,30.14,BIN,130.0,7,8,8,8,1389150,0.442,0.789
755446,rev,1440,1500,30.59,BIN,133.0,7,2,2,2,1353807,0.184,0.33
755447,obv,1440,1500,31.0,BIN,126.0,7,4,3,3,9512,0.255,0.432
755447,rev,1440,1500,31.68,BIN,123.0,7,6,5,5,9408,0.394,0.586
755448,obv,1440,1500,30.79,BIN,125.0,7,4,3,3,11692,0.26,0.426
755448,rev,1440,1500,29.87,BIN,125.0,7,6,6,6,1402984,0.343,0.594
755449,obv,1440,1500,31.49,BIN,122.0,7,4,3,3,1191424,0.939,1.094
755449,rev,1440,1500,31.14,BIN,128.0,7,7,6,6,12040,0.388,0.641
755450,obv,1440,1500,34.17,BIN,137.0,7,8,8,8,1394661,1.353,1.658
755450,rev,1440,1500,35.0,BIN,136.0,7,1,0,0,0,0.092,0.16
755451,obv,1440,1500,31.12,BIN,119.0,7,14,14,14,1229800,1.272,1.761
755451,rev,1440,1500,30.84,BIN,129.0,7,8,8,8,1335168,0.53,0.828
755452,obv,1440,1500,29.97,BIN,126.0,7,5,5,5,1454640,0.298,0.507
755452,rev,1440,1500,30.84,BIN,127.0,7,3,2,2,3721,0.144,0.263
755453,obv,1440,1500,30.35,BIN,121.0,7,11,11,11,1564479,0.656,1.071
755453,rev,1440,1500,30.96,BIN,123.0,7,9,8,8,17136,0.385,0.686
755454,obv,1440,1500,32.39,BIN,111.0,7,41,41,41,1992000,2.284,3.417
755454,rev,1440,1500,30.26,BIN,104.0,7,8,8,8,2151000,0.807,1.084
755455,obv,1440,1500,31.89,BIN,111.0,7,37,37,37,2095500,2.376,3.749
755455,rev,1440,1500,32.01,BIN,104.0,7,6,6,6,2155500,1.044,1.323
755456,obv,1440,1500,30.95,BIN,117.0,7,19,17,17,831147,1.358,1.945
755456,rev,1440,1500,31.46,BIN,121.0,7,15,15,15,1288189,1.38,1.903
755457,obv,1440,1500,29.62,BIN,124.0,7,9,9,9,1545786,0.458,0.801
755457,rev,1440,1500,29.06,BIN,111.0,7,37,37,37,2103000,2.213,3.331
755458,obv,1440,1500,30.49,BIN,133.0,7,1,0,0,0,0.137,0.202
755458,rev,1440,1500,29.19,BIN,131.0,7,2,1,1,3762,0.127,0.215
755459,obv,1440,1500,30.49,BIN,128.0,7,6,5,5,10854,0.305,0.502
755459,rev,1440,1500,28.43,BIN,129.0,7,1,0,0,0,0.13,0.198
755460,obv,1440,1500,30.07,BIN,133.0,7,6,6,6,1356830,0.401,0.667
755460,rev,1440,1500,29.42,BIN,125.0,7,13,13,13,1351100,0.594,1.065
755461,obv,1440,1500,30.29,BIN,121.0,7,9,9,9,1591926,0.628,0.998
755461,rev,1440,1500,29.74,BIN,120.0,7,14,14,14,1501250,0.964,1.47
755462,obv,1440,1500,30.3,BIN,128.0,7,1,0,0,0,0.14,0.199
755462,rev,1440,1500,30.27,BIN,119.0,7,8,8,8,1980875,0.822,1.121
755463,obv,1440,1500,30.75,BIN,128.0,7,1,0,0,0,0.119,0.178
755463,rev,1440,1500,29.95,BIN,122.0,7,10,9,9,14250,0.448,0.766
755464,obv,1440,1500,28.74,BIN,128.0,7,1,0,0,0,0.089,0.151
755464,rev,1440,1500,27.97,BIN,123.0,7,7,6,6,10712,0.348,0.602
755465,obv,1440,1500,30.5,BIN,130.0,7,3,2,2,9879,0.187,0.306
755465,rev,1440,1500,29.47,BIN,125.0,7,3,2,2,6570,0.214,0.348
755468,obv,1440,1500,30.92,BIN,121.0,7,15,15,15,1500429,0.841,1.405
755468,rev,1440,1500,29.87,BIN,119.0,7,14,13,13,44460,0.822,1.342
755469,obv,1440,1500,29.77,BIN,130.0,7,9,9,9,1516924,0.878,1.224
755469,rev,1440,1500,28.81,BIN,131.0,7,4,4,4,1411319,0.28,0.479
755470,obv,1440,1500,30.42,BIN,120.0,7,14,14,14,1527500,0.713,1.313
755470,rev,1440,1500,29.98,BIN,123.0,7,4,3,3,5559,0.248,0.423
