house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,auto.bbox_identical,auto.ndets_delta,control.weld,auto.weld
kuenker,428,735838,1100,2000,1091,8,8,58.03,59.0,0.513|0.366,7,success,3,"1019,101,973,982;13,102,965,971;944,0,110,90",0,0,,3,42.01,0.4133,7,success,3,"1019,101,973,982;13,102,965,971;944,0,110,90",0,0,,3,42.01,0.2675,1,0,0,0
kuenker,428,735844,1106,2000,1058,4,4,18.0,17.0,0.895|0.862,7,success,3,"1007,68,993,983;0,65,991,993;945,0,109,89",0,0,,3,17.0,0.1987,7,success,3,"1007,68,993,983;0,65,991,993;945,0,109,89",0,0,,3,17.0,0.2197,1,0,0,0
kuenker,428,735850,1112,1193,684,4,4,25.0,25.18,0.805|0.767,7,success,3,"607,96,580,581;7,102,576,572;565,-1,59,58",0,0,,3,25.18,0.0637,7,success,3,"607,96,580,581;7,102,576,572;565,-1,59,58",0,0,,3,25.18,0.062,1,0,0,0
kuenker,428,735856,1118,1814,993,4,4,28.0,28.28,0.544|0.445,7,success,3,"917,98,889,885;0,97,892,888;858,0,97,79",0,0,,3,28.28,0.1557,7,success,3,"917,98,889,885;0,97,892,888;858,0,97,79",0,0,,3,28.28,0.1841,1,0,0,0
kuenker,428,735861,1123,2000,1073,4,4,20.0,20.0,0.616|0.832,7,success,3,"1005,83,995,983;0,79,986,994;953,-4,92,91",0,0,,3,20.0,0.2687,7,success,3,"1005,83,995,983;0,79,986,994;953,-4,92,91",0,0,,3,20.0,0.2463,1,0,0,0
kuenker,428,735867,1129,2000,1073,4,4,19.92,20.0,0.545|0.572,7,success,3,"1011,75,989,991;0,76,992,987;944,0,109,89",0,0,,3,20.0,0.1865,7,success,3,"1011,75,989,991;0,76,992,987;944,0,109,89",0,0,,3,20.0,0.3133,1,0,0,0
kuenker,428,735873,1135,2000,1077,6,5,25.0,25.0,0.375|0.345,7,success,3,"6,79,981,992;1008,80,985,988;944,0,110,90",0,0,,3,25.0,0.2402,7,success,3,"6,79,981,992;1008,80,985,988;944,0,110,90",0,0,,3,25.0,0.1965,1,0,0,0
kuenker,428,735879,1141,2000,1093,4,6,25.0,25.0,0.479|0.107,7,success,3,"1005,94,987,987;7,92,975,993;944,0,110,90",0,0,,3,24.0,0.1889,7,success,3,"1005,94,987,987;7,92,975,993;944,0,110,90",0,0,,3,24.0,0.2093,1,0,0,0
kuenker,428,735885,1147,2000,1051,4,4,20.0,21.0,0.554|0.328,7,success,3,"0,67,995,980;1015,67,985,984;945,0,109,90",0,0,,3,21.0,0.3541,7,success,3,"0,67,995,980;1015,67,985,984;945,0,109,90",0,0,,3,21.0,0.2017,1,0,0,0
kuenker,428,735890,1152,2000,1064,5,4,18.0,16.0,0.214|0.261,7,success,3,"0,65,992,999;1007,68,993,988;945,0,109,89",0,0,,3,16.0,0.2308,7,success,3,"0,65,992,999;1007,68,993,988;945,0,109,89",0,0,,3,16.0,0.228,1,0,0,0
kuenker,428,735896,1158,2000,1050,6,5,38.0,38.0,0.397|0.492,7,success,3,"1011,61,981,989;22,65,965,965;946,0,107,88",0,0,,3,31.78,0.3699,7,success,3,"1011,61,981,989;22,65,965,965;946,0,107,88",0,0,,3,31.78,0.2974,1,0,0,0
kuenker,428,735902,1164,2000,1053,8,4,22.56,25.0,0.849|0.357,7,success,3,"0,60,991,993;1007,63,992,980;945,0,108,88",0,0,,3,18.0,0.2133,7,success,3,"0,60,991,993;1007,63,992,980;945,0,108,88",0,0,,3,18.0,0.1822,1,0,0,0
kuenker,428,735908,1170,2000,1055,4,4,17.0,17.0,0.825|0.633,7,success,3,"0,69,993,979;1009,68,991,987;944,0,110,90",0,0,,3,18.0,0.1955,7,success,3,"0,69,993,979;1009,68,991,987;944,0,110,90",0,0,,3,18.0,0.1742,1,0,0,0
kuenker,428,735914,1176,2000,1061,7,5,23.0,24.52,0.541|0.201,7,success,3,"7,83,988,971;1018,83,975,971;946,0,107,88",0,0,,3,24.52,0.2148,7,success,3,"7,83,988,971;1018,83,975,971;946,0,107,88",0,0,,3,24.52,0.2477,1,0,0,0
kuenker,428,735919,1181,1636,882,5,4,25.02,25.02,0.649|0.135,7,success,3,"827,97,802,778;0,100,804,771;774,0,87,71",0,0,,3,25.02,0.1482,7,success,3,"827,97,802,778;0,100,804,771;774,0,87,71",0,0,,3,25.02,0.1361,1,0,0,0
kuenker,428,735925,1187,2000,1042,4,4,13.0,12.65,0.632|0.47,7,success,3,"0,56,1000,986;1001,49,999,988;944,0,110,90",0,0,,3,2.0,0.1472,7,success,3,"0,56,1000,986;1001,49,999,988;944,0,110,90",0,0,,3,2.0,0.242,1,0,0,0
kuenker,428,735931,1195,2000,787,9,8,594.53,595.41,0.359|0.305,7,success,4,"1323,59,677,724;3,88,726,666;807,184,454,453;944,0,110,90",0,0,,4,595.41,36.7218,7,success,4,"1323,59,677,724;3,88,726,666;807,184,454,453;944,0,110,90",0,0,,4,595.41,37.8028,1,0,0,0
kuenker,428,735937,1201,1939,1025,4,4,26.0,25.0,0.469|0.378,7,success,3,"985,99,947,916;7,99,954,918;915,0,107,87",0,0,,3,25.0,0.3129,7,success,3,"985,99,947,916;7,99,954,918;915,0,107,87",0,0,,3,25.0,0.1579,1,0,0,0
kuenker,428,735943,1207,2000,1052,4,4,17.0,18.0,0.892|0.64,7,success,3,"0,69,992,983;1009,68,991,984;946,0,107,88",0,0,,3,18.0,0.2601,7,success,3,"0,69,992,983;1009,68,991,984;946,0,107,88",0,0,,3,18.0,0.2133,1,0,0,0
kuenker,428,735948,1212,2000,1053,4,4,17.0,17.0,0.899|0.885,7,success,3,"1007,60,993,993;0,61,992,992;954,-1,92,92",0,0,,3,16.0,0.2653,7,success,3,"1007,60,993,993;0,61,992,992;954,-1,92,92",0,0,,3,16.0,0.1779,1,0,0,0
kuenker,428,735954,1218,2000,1060,4,4,18.0,17.12,0.606|0.648,7,success,3,"1008,68,992,992;0,68,992,992;943,0,111,90",0,0,,3,17.0,0.1739,7,success,3,"1008,68,992,992;0,68,992,992;943,0,111,90",0,0,,3,17.0,0.1575,1,0,0,0
kuenker,428,735960,1225,2000,1044,7,8,19.92,20.0,0.725|0.143,7,success,3,"0,65,993,979;1011,65,989,979;945,0,109,89",0,0,,3,20.0,0.1729,7,success,3,"0,65,993,979;1011,65,989,979;945,0,109,89",0,0,,3,20.0,0.1775,1,0,0,0
kuenker,428,735966,1231,2000,1060,4,4,21.0,21.02,0.65|0.501,7,success,3,"1010,74,982,986;9,76,981,984;944,0,110,89",0,0,,3,21.0,0.2324,7,success,3,"1010,74,982,986;9,76,981,984;944,0,110,89",0,0,,3,21.0,0.1689,1,0,0,0
kuenker,428,735972,1237,2000,1084,4,4,29.0,30.0,0.78|0.765,7,success,3,"1011,93,978,982;7,92,976,980;943,0,112,91",0,0,,3,30.0,0.2152,7,success,3,"1011,93,978,982;7,92,976,980;943,0,112,91",0,0,,3,30.0,0.1554,1,0,0,0
kuenker,428,735978,1243,2000,1064,4,4,20.0,20.0,0.88|0.629,7,success,3,"1009,71,991,993;0,71,991,993;953,-2,93,92",0,0,,3,19.0,0.1765,7,success,3,"1009,71,991,993;0,71,991,993;953,-2,93,92",0,0,,3,19.0,0.2181,1,0,0,0
kuenker,428,735983,1248,2000,1065,4,4,18.0,18.0,0.513|0.867,7,success,3,"1007,70,993,995;0,72,990,985;953,0,92,91",0,0,,3,18.0,0.1794,7,success,3,"1007,70,993,995;0,72,990,985;953,0,92,91",0,0,,3,18.0,0.2807,1,0,0,0
kuenker,428,735989,1254,2000,1056,4,6,20.0,17.0,0.529|0.416,7,success,3,"0,62,992,994;1007,62,993,994;952,-2,94,93",0,0,,3,16.12,0.1656,7,success,3,"0,62,992,994;1007,62,993,994;952,-2,94,93",0,0,,3,16.12,0.1721,1,0,0,0
kuenker,428,735995,1260,2000,780,7,6,524.0,515.35,0.42|0.383,7,success,2,"756,39,1236,741;0,40,741,740",0,0,,3,17.12,47.5048,7,success,2,"756,39,1236,741;0,40,741,740",0,0,,3,17.12,48.2237,1,0,0,0
kuenker,428,736001,1266,2000,688,6,5,704.0,703.01,0.761|0.873,7,success,4,"0,40,649,648;1351,40,649,648;663,192,668,335;944,0,111,90",0,0,,4,703.01,0.0904,7,success,4,"0,40,649,648;1351,40,649,648;663,192,668,335;944,0,111,90",0,0,,4,703.01,0.0883,1,0,0,0
kuenker,428,736007,1272,2000,1062,5,4,18.0,18.0,0.683|0.546,7,success,3,"0,63,994,999;1011,63,989,992;951,-3,93,92",0,0,,3,18.0,0.2046,7,success,3,"0,63,994,999;1011,63,989,992;951,-3,93,92",0,0,,3,18.0,0.2408,1,0,0,0
kuenker,428,736012,1277,2000,1088,4,4,22.02,23.0,0.761|0.426,7,success,3,"1009,87,991,1001;0,87,988,997;953,-3,92,91",0,0,,3,23.0,0.2579,7,success,3,"1009,87,991,1001;0,87,988,997;953,-3,92,91",0,0,,3,23.0,0.1501,1,0,0,0
kuenker,428,736018,1283,2000,1057,4,4,17.0,16.0,0.842|0.774,7,success,3,"1007,62,993,995;0,62,992,995;944,0,110,90",0,0,,3,16.0,0.1834,7,success,3,"1007,62,993,995;0,62,992,995;944,0,110,90",0,0,,3,16.0,0.1829,1,0,0,0
kuenker,428,736024,1289,1969,1362,5,4,50.01,23.0,0.292|0.338,7,success,3,"-24,280,1024,1025;970,289,1023,1023;936,-1,93,92",0,0,,3,24.0,313.1741,7,success,3,"-24,280,1024,1025;970,289,1023,1023;936,-1,93,92",0,0,,3,24.0,253.4016,1,0,0,0
kuenker,428,736030,1296,2000,1065,4,4,18.44,19.0,0.846|0.894,7,success,3,"0,73,993,992;1010,74,990,991;946,0,107,87",0,0,,3,19.0,0.2082,7,success,3,"0,73,993,992;1010,74,990,991;946,0,107,87",0,0,,3,19.0,0.1552,1,0,0,0
kuenker,428,736036,1302,2000,1059,4,4,18.0,16.12,0.778|0.831,7,success,3,"1007,62,993,997;0,61,992,998;955,-2,91,90",0,0,,3,16.0,0.1825,7,success,3,"1007,62,993,997;0,61,992,998;955,-2,91,90",0,0,,3,16.0,0.1767,1,0,0,0
kuenker,428,736041,1307,1320,739,5,4,27.66,29.0,0.541|0.361,7,success,3,"670,99,642,633;8,103,635,625;628,-1,62,61",0,0,,3,29.07,0.0732,7,success,3,"670,99,642,633;8,103,635,625;628,-1,62,61",0,0,,3,29.07,0.0832,1,0,0,0
kuenker,428,736047,1313,2000,1054,5,5,25.0,19.7,0.327|0.198,7,success,3,"1007,60,990,986;0,63,990,980;945,0,109,89",0,0,,3,19.0,0.2013,7,success,3,"1007,60,990,986;0,63,990,980;945,0,109,89",0,0,,3,19.0,0.1693,1,0,0,0
kuenker,428,736053,1319,2000,1058,4,4,17.12,17.12,0.763|0.659,7,success,3,"0,69,993,983;1009,68,991,990;953,-1,93,92",0,0,,3,17.12,0.1696,7,success,3,"0,69,993,983;1009,68,991,990;953,-1,93,92",0,0,,3,17.12,0.1748,1,0,0,0
kuenker,428,736059,1325,1981,1077,10,9,42.01,43.29,0.544|0.292,7,success,3,"8,99,974,969;1008,100,966,967;936,0,107,87",0,0,,3,27.0,0.3213,7,success,3,"8,99,974,969;1008,100,966,967;936,0,107,87",0,0,,3,27.0,0.1727,1,0,0,0
kuenker,428,736065,1331,2000,1063,4,4,20.62,20.0,0.748|0.77,7,success,3,"0,79,990,984;1009,80,991,983;953,-3,92,91",0,0,,3,20.02,0.1968,7,success,3,"0,79,990,984;1009,80,991,983;953,-3,92,91",0,0,,3,20.02,0.1749,1,0,0,0
kuenker,428,736070,1336,2000,868,4,4,451.07,451.0,0.821|0.713,7,success,3,"0,74,776,771;1226,76,774,768;656,109,667,667",0,0,,3,451.0,2.8707,7,success,3,"0,74,776,771;1226,76,774,768;656,109,667,667",0,0,,3,451.0,3.1527,1,0,0,0
kuenker,428,736076,1342,2000,1049,4,5,13.0,13.0,0.726|0.602,7,success,2,"0,0,1061,1049;967,22,1033,1027",1,1,split,2,142.95,85.9978,7,success,2,"0,0,1061,1049;967,22,1033,1027",1,1,split,2,142.95,77.6556,1,0,0,0
kuenker,428,736082,1348,2000,1030,4,4,16.76,16.03,0.857|0.141,7,success,3,"1009,59,991,971;8,59,986,962;951,-2,95,93",0,0,,3,16.03,0.1899,7,success,3,"1009,59,991,971;8,59,986,962;951,-2,95,93",0,0,,3,16.03,0.1585,1,0,0,0
