id,side,off_value,off_bg_type,on_value,on_bg_type,ring_truth,off_err,on_err,off_thresh,on_thresh,crosses_110,value_changed
755445,full,31.037,dark,75.0,dark,77.885,-46.848,-2.885,BINARY,BINARY,False,True
755446,full,30.35,dark,75.0,dark,77.885,-47.535,-2.885,BINARY,BINARY,False,True
755447,full,31.289,dark,75.0,dark,77.885,-46.596,-2.885,BINARY,BINARY,False,True
755448,full,30.329,dark,75.0,dark,77.885,-47.557,-2.885,BINARY,BINARY,False,True
755449,full,31.32,dark,75.0,dark,77.885,-46.565,-2.885,BINARY,BINARY,False,True
755450,full,34.541,dark,75.0,dark,77.885,-43.344,-2.885,BINARY,BINARY,False,True
755451,full,31.005,dark,75.0,dark,77.885,-46.88,-2.885,BINARY,BINARY,False,True
755452,full,30.356,dark,75.0,dark,77.885,-47.529,-2.885,BINARY,BINARY,False,True
755453,full,30.645,dark,75.0,dark,77.885,-47.24,-2.885,BINARY,BINARY,False,True
755454,full,31.467,dark,75.0,dark,77.885,-46.418,-2.885,BINARY,BINARY,False,True
755455,full,31.947,dark,75.0,dark,77.885,-45.938,-2.885,BINARY,BINARY,False,True
755456,full,31.215,dark,75.0,dark,77.885,-46.67,-2.885,BINARY,BINARY,False,True
755457,full,29.284,dark,75.0,dark,77.885,-48.601,-2.885,BINARY,BINARY,False,True
755458,full,29.807,dark,75.0,dark,77.885,-48.078,-2.885,BINARY,BINARY,False,True
755459,full,29.442,dark,75.0,dark,77.885,-48.444,-2.885,BINARY,BINARY,False,True
755460,full,29.748,dark,75.0,dark,77.885,-48.137,-2.885,BINARY,BINARY,False,True
755461,full,30.03,dark,75.0,dark,77.885,-47.855,-2.885,BINARY,BINARY,False,True
755462,full,30.282,dark,75.0,dark,77.885,-47.604,-2.885,BINARY,BINARY,False,True
755463,full,30.433,dark,75.0,dark,77.885,-47.452,-2.885,BINARY,BINARY,False,True
755464,full,28.373,dark,75.0,dark,77.885,-49.513,-2.885,BINARY,BINARY,False,True
755465,full,30.038,dark,75.0,dark,77.885,-47.847,-2.885,BINARY,BINARY,False,True
755468,full,30.429,dark,75.0,dark,77.885,-47.456,-2.885,BINARY,BINARY,False,True
755469,full,29.305,dark,75.0,dark,77.885,-48.581,-2.885,BINARY,BINARY,False,True
755470,full,30.206,dark,75.0,dark,77.885,-47.679,-2.885,BINARY,BINARY,False,True
755472,full,30.628,dark,75.0,dark,77.885,-47.258,-2.885,BINARY,BINARY,False,True
755473,full,30.752,dark,75.0,dark,77.885,-47.134,-2.885,BINARY,BINARY,False,True
755475,full,33.328,dark,75.0,dark,77.885,-44.558,-2.885,BINARY,BINARY,False,True
755476,full,31.117,dark,75.0,dark,77.885,-46.769,-2.885,BINARY,BINARY,False,True
755477,full,30.759,dark,75.0,dark,77.885,-47.126,-2.885,BINARY,BINARY,False,True
755478,full,34.508,dark,75.0,dark,77.885,-43.377,-2.885,BINARY,BINARY,False,True
755479,full,29.766,dark,75.0,dark,77.885,-48.12,-2.885,BINARY,BINARY,False,True
755480,full,32.659,dark,75.0,dark,77.885,-45.227,-2.885,BINARY,BINARY,False,True
755481,full,32.119,dark,75.0,dark,77.885,-45.766,-2.885,BINARY,BINARY,False,True
755482,full,31.19,dark,75.0,dark,77.885,-46.695,-2.885,BINARY,BINARY,False,True
755483,full,29.294,dark,75.0,dark,77.885,-48.591,-2.885,BINARY,BINARY,False,True
755484,full,30.197,dark,75.0,dark,77.885,-47.688,-2.885,BINARY,BINARY,False,True
755485,full,31.072,dark,75.0,dark,77.885,-46.813,-2.885,BINARY,BINARY,False,True
755486,full,31.465,dark,75.0,dark,77.885,-46.421,-2.885,BINARY,BINARY,False,True
755487,full,29.391,dark,75.0,dark,77.885,-48.494,-2.885,BINARY,BINARY,False,True
755489,full,33.544,dark,75.0,dark,77.885,-44.341,-2.885,BINARY,BINARY,False,True
755490,full,30.772,dark,75.0,dark,77.885,-47.114,-2.885,BINARY,BINARY,False,True
755491,full,30.942,dark,75.0,dark,77.885,-46.944,-2.885,BINARY,BINARY,False,True
755492,full,30.198,dark,75.0,dark,77.885,-47.687,-2.885,BINARY,BINARY,False,True
755493,full,27.537,dark,75.0,dark,77.885,-50.348,-2.885,BINARY,BINARY,False,True
755494,full,27.775,dark,75.0,dark,77.885,-50.11,-2.885,BINARY,BINARY,False,True
755495,full,30.456,dark,75.0,dark,77.885,-47.429,-2.885,BINARY,BINARY,False,True
755496,full,30.502,dark,75.0,dark,77.885,-47.383,-2.885,BINARY,BINARY,False,True
755497,full,32.263,dark,75.0,dark,77.885,-45.622,-2.885,BINARY,BINARY,False,True
755498,full,31.522,dark,75.0,dark,77.885,-46.363,-2.885,BINARY,BINARY,False,True
755499,full,30.933,dark,75.0,dark,77.885,-46.952,-2.885,BINARY,BINARY,False,True
755500,full,28.995,dark,75.0,dark,77.885,-48.891,-2.885,BINARY,BINARY,False,True
755501,full,29.979,dark,75.0,dark,77.885,-47.906,-2.885,BINARY,BINARY,False,True
755502,full,30.456,dark,75.0,dark,77.885,-47.429,-2.885,BINARY,BINARY,False,True
755503,full,30.432,dark,75.0,dark,77.885,-47.454,-2.885,BINARY,BINARY,False,True
755504,full,31.615,dark,75.0,dark,77.885,-46.271,-2.885,BINARY,BINARY,False,True
755505,full,30.972,dark,75.0,dark,77.885,-46.913,-2.885,BINARY,BINARY,False,True
755506,full,30.866,dark,75.0,dark,77.885,-47.019,-2.885,BINARY,BINARY,False,True
755507,full,30.417,dark,75.0,dark,77.885,-47.468,-2.885,BINARY,BINARY,False,True
