id,side,off_value,off_bg_type,on_value,on_bg_type,ring_truth,off_err,on_err,off_thresh,on_thresh,crosses_110,value_changed
755407,rev,28.698,dark,75.0,dark,78.952,-50.253,-3.952,BINARY,BINARY,False,True
755408,obv,26.791,dark,75.0,dark,78.944,-52.153,-3.944,BINARY,BINARY,False,True
755408,rev,27.943,dark,75.0,dark,78.952,-51.009,-3.952,BINARY,BINARY,False,True
755409,obv,30.511,dark,75.0,dark,78.944,-48.433,-3.944,BINARY,BINARY,False,True
755409,rev,30.86,dark,75.0,dark,78.952,-48.092,-3.952,BINARY,BINARY,False,True
755410,obv,29.351,dark,75.0,dark,78.944,-49.593,-3.944,BINARY,BINARY,False,True
755410,rev,29.705,dark,75.0,dark,78.952,-49.247,-3.952,BINARY,BINARY,False,True
755411,obv,32.54,dark,75.0,dark,78.944,-46.404,-3.944,BINARY,BINARY,False,True
755411,rev,31.669,dark,75.0,dark,78.952,-47.283,-3.952,BINARY,BINARY,False,True
755412,obv,30.87,dark,75.0,dark,78.944,-48.074,-3.944,BINARY,BINARY,False,True
755412,rev,31.328,dark,75.0,dark,78.952,-47.624,-3.952,BINARY,BINARY,False,True
755413,obv,30.299,dark,75.0,dark,78.944,-48.645,-3.944,BINARY,BINARY,False,True
755413,rev,30.307,dark,75.0,dark,78.952,-48.645,-3.952,BINARY,BINARY,False,True
755414,obv,29.217,dark,75.0,dark,78.944,-49.726,-3.944,BINARY,BINARY,False,True
755414,rev,29.161,dark,75.0,dark,78.952,-49.791,-3.952,BINARY,BINARY,False,True
755415,obv,30.699,dark,75.0,dark,78.944,-48.245,-3.944,BINARY,BINARY,False,True
755415,rev,30.702,dark,75.0,dark,78.952,-48.25,-3.952,BINARY,BINARY,False,True
755416,obv,29.705,dark,75.0,dark,78.944,-49.239,-3.944,BINARY,BINARY,False,True
755416,rev,29.262,dark,75.0,dark,78.952,-49.689,-3.952,BINARY,BINARY,False,True
755417,obv,27.419,dark,75.0,dark,78.944,-51.525,-3.944,BINARY,BINARY,False,True
755417,rev,29.204,dark,75.0,dark,78.952,-49.748,-3.952,BINARY,BINARY,False,True
755418,obv,31.374,dark,75.0,dark,78.944,-47.57,-3.944,BINARY,BINARY,False,True
755418,rev,30.462,dark,75.0,dark,78.952,-48.489,-3.952,BINARY,BINARY,False,True
755419,obv,33.101,dark,75.0,dark,78.944,-45.842,-3.944,BINARY,BINARY,False,True
755419,rev,32.639,dark,75.0,dark,78.952,-46.313,-3.952,BINARY,BINARY,False,True
755420,obv,33.762,dark,75.0,dark,78.944,-45.182,-3.944,BINARY,BINARY,False,True
755420,rev,34.534,dark,75.0,dark,78.952,-44.417,-3.952,BINARY,BINARY,False,True
755421,obv,29.627,dark,75.0,dark,78.944,-49.317,-3.944,BINARY,BINARY,False,True
755421,rev,28.098,dark,75.0,dark,78.952,-50.854,-3.952,BINARY,BINARY,False,True
755422,obv,28.409,dark,75.0,dark,78.944,-50.535,-3.944,BINARY,BINARY,False,True
755422,rev,30.718,dark,75.0,dark,78.952,-48.233,-3.952,BINARY,BINARY,False,True
755423,obv,32.248,dark,75.0,dark,78.944,-46.695,-3.944,BINARY,BINARY,False,True
755423,rev,33.07,dark,75.0,dark,78.952,-45.882,-3.952,BINARY,BINARY,False,True
755424,obv,31.048,dark,75.0,dark,78.944,-47.896,-3.944,BINARY,BINARY,False,True
755424,rev,29.701,dark,75.0,dark,78.952,-49.251,-3.952,BINARY,BINARY,False,True
755425,obv,30.591,dark,75.0,dark,78.944,-48.353,-3.944,BINARY,BINARY,False,True
755425,rev,30.148,dark,75.0,dark,78.952,-48.804,-3.952,BINARY,BINARY,False,True
755426,obv,32.257,dark,75.0,dark,78.944,-46.687,-3.944,BINARY,BINARY,False,True
755426,rev,31.528,dark,75.0,dark,78.952,-47.423,-3.952,BINARY,BINARY,False,True
755427,obv,28.512,dark,75.0,dark,78.944,-50.432,-3.944,BINARY,BINARY,False,True
755427,rev,29.076,dark,75.0,dark,78.952,-49.876,-3.952,BINARY,BINARY,False,True
755428,obv,28.214,dark,75.0,dark,78.944,-50.729,-3.944,BINARY,BINARY,False,True
755428,rev,30.079,dark,75.0,dark,78.952,-48.873,-3.952,BINARY,BINARY,False,True
755429,obv,30.917,dark,75.0,dark,78.944,-48.026,-3.944,BINARY,BINARY,False,True
755429,rev,31.707,dark,75.0,dark,78.952,-47.245,-3.952,BINARY,BINARY,False,True
755430,obv,31.193,dark,75.0,dark,78.944,-47.75,-3.944,BINARY,BINARY,False,True
755430,rev,31.481,dark,75.0,dark,78.952,-47.471,-3.952,BINARY,BINARY,False,True
755431,obv,31.715,dark,75.0,dark,78.944,-47.229,-3.944,BINARY,BINARY,False,True
755431,rev,31.33,dark,75.0,dark,78.952,-47.621,-3.952,BINARY,BINARY,False,True
755432,obv,31.774,dark,75.0,dark,78.944,-47.17,-3.944,BINARY,BINARY,False,True
755432,rev,30.177,dark,75.0,dark,78.952,-48.775,-3.952,BINARY,BINARY,False,True
755433,obv,30.532,dark,75.0,dark,78.944,-48.411,-3.944,BINARY,BINARY,False,True
755433,rev,30.188,dark,75.0,dark,78.952,-48.764,-3.952,BINARY,BINARY,False,True
755434,obv,29.02,dark,75.0,dark,78.944,-49.924,-3.944,BINARY,BINARY,False,True
755434,rev,29.985,dark,75.0,dark,78.952,-48.967,-3.952,BINARY,BINARY,False,True
755435,obv,31.465,dark,75.0,dark,78.944,-47.479,-3.944,BINARY,BINARY,False,True
755435,rev,28.237,dark,75.0,dark,78.952,-50.714,-3.952,BINARY,BINARY,False,True
755436,obv,31.649,dark,75.0,dark,78.944,-47.294,-3.944,BINARY,BINARY,False,True
755436,rev,30.81,dark,75.0,dark,78.952,-48.142,-3.952,BINARY,BINARY,False,True
755437,obv,32.981,dark,75.0,dark,78.944,-45.963,-3.944,BINARY,BINARY,False,True
755437,rev,32.305,dark,75.0,dark,78.952,-46.647,-3.952,BINARY,BINARY,False,True
755438,obv,31.985,dark,75.0,dark,78.944,-46.959,-3.944,BINARY,BINARY,False,True
755438,rev,33.822,dark,75.0,dark,78.952,-45.13,-3.952,BINARY,BINARY,False,True
755439,obv,31.212,dark,75.0,dark,78.944,-47.732,-3.944,BINARY,BINARY,False,True
755439,rev,31.289,dark,75.0,dark,78.952,-47.663,-3.952,BINARY,BINARY,False,True
755440,obv,29.992,dark,75.0,dark,78.944,-48.951,-3.944,BINARY,BINARY,False,True
755440,rev,30.105,dark,75.0,dark,78.952,-48.847,-3.952,BINARY,BINARY,False,True
755441,obv,31.144,dark,75.0,dark,78.944,-47.8,-3.944,BINARY,BINARY,False,True
755441,rev,30.914,dark,75.0,dark,78.952,-48.038,-3.952,BINARY,BINARY,False,True
755442,obv,32.154,dark,75.0,dark,78.944,-46.79,-3.944,BINARY,BINARY,False,True
755442,rev,32.065,dark,75.0,dark,78.952,-46.887,-3.952,BINARY,BINARY,False,True
755443,obv,31.063,dark,75.0,dark,78.944,-47.88,-3.944,BINARY,BINARY,False,True
755443,rev,29.777,dark,75.0,dark,78.952,-49.175,-3.952,BINARY,BINARY,False,True
755444,obv,29.015,dark,75.0,dark,78.944,-49.929,-3.944,BINARY,BINARY,False,True
755444,rev,28.62,dark,75.0,dark,78.952,-50.331,-3.952,BINARY,BINARY,False,True
755445,obv,31.182,dark,75.0,dark,78.944,-47.762,-3.944,BINARY,BINARY,False,True
755445,rev,30.862,dark,75.0,dark,78.952,-48.09,-3.952,BINARY,BINARY,False,True
755446,obv,30.142,dark,75.0,dark,78.944,-48.802,-3.944,BINARY,BINARY,False,True
755446,rev,30.592,dark,75.0,dark,78.952,-48.36,-3.952,BINARY,BINARY,False,True
755447,obv,31.002,dark,75.0,dark,78.944,-47.942,-3.944,BINARY,BINARY,False,True
755447,rev,31.676,dark,75.0,dark,78.952,-47.276,-3.952,BINARY,BINARY,False,True
755448,obv,30.792,dark,75.0,dark,78.944,-48.152,-3.944,BINARY,BINARY,False,True
755448,rev,29.869,dark,75.0,dark,78.952,-49.083,-3.952,BINARY,BINARY,False,True
755449,obv,31.493,dark,75.0,dark,78.944,-47.451,-3.944,BINARY,BINARY,False,True
755449,rev,31.136,dark,75.0,dark,78.952,-47.816,-3.952,BINARY,BINARY,False,True
755450,obv,34.17,dark,75.0,dark,78.944,-44.774,-3.944,BINARY,BINARY,False,True
755450,rev,35.0,dark,75.0,dark,78.952,-43.951,-3.952,BINARY,BINARY,False,True
755451,obv,31.12,dark,75.0,dark,78.944,-47.824,-3.944,BINARY,BINARY,False,True
755451,rev,30.845,dark,75.0,dark,78.952,-48.107,-3.952,BINARY,BINARY,False,True
755452,obv,29.972,dark,75.0,dark,78.944,-48.971,-3.944,BINARY,BINARY,False,True
755452,rev,30.838,dark,75.0,dark,78.952,-48.114,-3.952,BINARY,BINARY,False,True
755453,obv,30.351,dark,75.0,dark,78.944,-48.592,-3.944,BINARY,BINARY,False,True
755453,rev,30.963,dark,75.0,dark,78.952,-47.989,-3.952,BINARY,BINARY,False,True
755454,obv,32.386,dark,75.0,dark,78.944,-46.557,-3.944,BINARY,BINARY,False,True
755454,rev,30.261,dark,75.0,dark,78.952,-48.691,-3.952,BINARY,BINARY,False,True
755455,obv,31.886,dark,75.0,dark,78.944,-47.058,-3.944,BINARY,BINARY,False,True
755455,rev,32.01,dark,75.0,dark,78.952,-46.941,-3.952,BINARY,BINARY,False,True
755456,obv,30.952,dark,75.0,dark,78.944,-47.992,-3.944,BINARY,BINARY,False,True
755456,rev,31.456,dark,75.0,dark,78.952,-47.496,-3.952,BINARY,BINARY,False,True
755457,obv,29.617,dark,75.0,dark,78.944,-49.327,-3.944,BINARY,BINARY,False,True
755457,rev,29.056,dark,75.0,dark,78.952,-49.896,-3.952,BINARY,BINARY,False,True
755458,obv,30.488,dark,75.0,dark,78.944,-48.456,-3.944,BINARY,BINARY,False,True
755458,rev,29.19,dark,75.0,dark,78.952,-49.762,-3.952,BINARY,BINARY,False,True
755459,obv,30.49,dark,75.0,dark,78.944,-48.454,-3.944,BINARY,BINARY,False,True
755459,rev,28.426,dark,75.0,dark,78.952,-50.525,-3.952,BINARY,BINARY,False,True
755460,obv,30.074,dark,75.0,dark,78.944,-48.87,-3.944,BINARY,BINARY,False,True
755460,rev,29.418,dark,75.0,dark,78.952,-49.534,-3.952,BINARY,BINARY,False,True
755461,obv,30.289,dark,75.0,dark,78.944,-48.654,-3.944,BINARY,BINARY,False,True
755461,rev,29.741,dark,75.0,dark,78.952,-49.21,-3.952,BINARY,BINARY,False,True
755462,obv,30.299,dark,75.0,dark,78.944,-48.645,-3.944,BINARY,BINARY,False,True
755462,rev,30.269,dark,75.0,dark,78.952,-48.683,-3.952,BINARY,BINARY,False,True
755463,obv,30.753,dark,75.0,dark,78.944,-48.19,-3.944,BINARY,BINARY,False,True
755463,rev,29.949,dark,75.0,dark,78.952,-49.003,-3.952,BINARY,BINARY,False,True
755464,obv,28.738,dark,75.0,dark,78.944,-50.206,-3.944,BINARY,BINARY,False,True
755464,rev,27.97,dark,75.0,dark,78.952,-50.982,-3.952,BINARY,BINARY,False,True
755465,obv,30.498,dark,75.0,dark,78.944,-48.446,-3.944,BINARY,BINARY,False,True
755465,rev,29.471,dark,75.0,dark,78.952,-49.481,-3.952,BINARY,BINARY,False,True
755468,obv,30.924,dark,75.0,dark,78.944,-48.02,-3.944,BINARY,BINARY,False,True
755468,rev,29.865,dark,75.0,dark,78.952,-49.086,-3.952,BINARY,BINARY,False,True
755469,obv,29.768,dark,75.0,dark,78.944,-49.176,-3.944,BINARY,BINARY,False,True
755469,rev,28.812,dark,75.0,dark,78.952,-50.139,-3.952,BINARY,BINARY,False,True
755470,obv,30.421,dark,75.0,dark,78.944,-48.523,-3.944,BINARY,BINARY,False,True
755470,rev,29.982,dark,75.0,dark,78.952,-48.97,-3.952,BINARY,BINARY,False,True
755472,obv,31.175,dark,75.0,dark,78.944,-47.769,-3.944,BINARY,BINARY,False,True
755472,rev,30.083,dark,75.0,dark,78.952,-48.869,-3.952,BINARY,BINARY,False,True
755473,obv,30.648,dark,75.0,dark,78.944,-48.296,-3.944,BINARY,BINARY,False,True
755473,rev,30.867,dark,75.0,dark,78.952,-48.085,-3.952,BINARY,BINARY,False,True
755475,obv,33.45,dark,75.0,dark,78.944,-45.493,-3.944,BINARY,BINARY,False,True
755475,rev,33.225,dark,75.0,dark,78.952,-45.726,-3.952,BINARY,BINARY,False,True
755476,obv,30.361,dark,75.0,dark,78.944,-48.583,-3.944,BINARY,BINARY,False,True
755476,rev,31.691,dark,75.0,dark,78.952,-47.261,-3.952,BINARY,BINARY,False,True
755477,obv,31.262,dark,75.0,dark,78.944,-47.682,-3.944,BINARY,BINARY,False,True
755477,rev,30.339,dark,75.0,dark,78.952,-48.613,-3.952,BINARY,BINARY,False,True
755478,obv,34.662,dark,75.0,dark,78.944,-44.282,-3.944,BINARY,BINARY,False,True
