id,side,mode,off_value,on_value,sha_off,sha_on,shape_off,shape_on,masked_off,masked_on,verdict
755506,obv,query518,30.964,75.0,75d203f7ff7a9beb,75d203f7ff7a9beb,"(476, 518, 4)","(476, 518, 4)",True,True,IDENTICAL
755506,obv,fullres,30.964,75.0,2a2febf371f0382b,2a2febf371f0382b,"(1260, 1482, 4)","(1260, 1482, 4)",True,True,IDENTICAL
755515,obv,query518,29.28,75.0,2127f259c0222790,2127f259c0222790,"(366, 386, 4)","(366, 386, 4)",True,True,IDENTICAL
755515,obv,fullres,29.28,75.0,f8c047f9085cdedb,f8c047f9085cdedb,"(1068, 1128, 4)","(1068, 1128, 4)",True,True,IDENTICAL
755517,rev,query518,31.919,75.0,0b4b115741546a5d,0b4b115741546a5d,"(388, 380, 4)","(388, 380, 4)",True,True,IDENTICAL
755517,rev,fullres,31.919,75.0,1bc15088dc809954,1bc15088dc809954,"(1107, 1107, 4)","(1107, 1107, 4)",True,True,IDENTICAL
755526,obv,query518,31.045,75.0,757e2c2c8a8b75cc,757e2c2c8a8b75cc,"(324, 324, 4)","(324, 324, 4)",True,True,IDENTICAL
755526,obv,fullres,31.045,75.0,86b372fcb5b883c2,86b372fcb5b883c2,"(933, 933, 4)","(933, 933, 4)",True,True,IDENTICAL
755534,rev,query518,30.49,75.0,1421167957f0ccda,1421167957f0ccda,"(436, 496, 4)","(436, 496, 4)",True,True,IDENTICAL
755534,rev,fullres,30.49,75.0,52ab4861f8373372,52ab4861f8373372,"(1264, 1456, 4)","(1264, 1456, 4)",True,True,IDENTICAL
755535,rev,query518,30.171,75.0,91eebfb17c43f088,91eebfb17c43f088,"(360, 360, 4)","(360, 360, 4)",True,True,IDENTICAL
755535,rev,fullres,30.171,75.0,3e59da8ecd84c7f7,3e59da8ecd84c7f7,"(1007, 1131, 4)","(1007, 1131, 4)",True,True,IDENTICAL
755537,rev,query518,29.654,75.0,e886d6bff868fa80,e886d6bff868fa80,"(385, 385, 4)","(385, 385, 4)",True,True,IDENTICAL
755537,rev,fullres,29.654,75.0,4df4b1677281d068,4df4b1677281d068,"(1062, 1110, 4)","(1062, 1110, 4)",True,True,IDENTICAL
755559,rev,query518,33.0,75.0,b8c91afeaee68912,b8c91afeaee68912,"(366, 390, 4)","(366, 390, 4)",True,True,IDENTICAL
755559,rev,fullres,33.0,75.0,9520846b17f699ab,9520846b17f699ab,"(1064, 1137, 4)","(1064, 1137, 4)",True,True,IDENTICAL
755564,obv,query518,32.42,75.0,d5fc31c421905bb9,d5fc31c421905bb9,"(374, 374, 4)","(374, 374, 4)",True,True,IDENTICAL
755564,obv,fullres,32.42,75.0,9c6b94d9cd96f117,9c6b94d9cd96f117,"(1107, 1097, 4)","(1107, 1097, 4)",True,True,IDENTICAL
755569,obv,query518,30.454,75.0,5cadba50ace46811,5cadba50ace46811,"(399, 400, 4)","(399, 400, 4)",True,True,IDENTICAL
755569,obv,fullres,30.454,75.0,5d6e9db0131581f3,5d6e9db0131581f3,"(1176, 1169, 4)","(1176, 1169, 4)",True,True,IDENTICAL
755590,obv,query518,32.563,75.0,9741f754e1135ab0,9741f754e1135ab0,"(385, 373, 4)","(385, 373, 4)",True,True,IDENTICAL
755590,obv,fullres,32.563,75.0,a783e628d18f6587,a783e628d18f6587,"(1094, 1090, 4)","(1094, 1090, 4)",True,True,IDENTICAL
755593,rev,query518,31.031,75.0,95905b530813b7c8,95905b530813b7c8,"(384, 384, 4)","(384, 384, 4)",True,True,IDENTICAL
755593,rev,fullres,31.031,75.0,918b48df0714a829,918b48df0714a829,"(1107, 1115, 4)","(1107, 1115, 4)",True,True,IDENTICAL
755601,obv,query518,28.917,75.0,1746392b2b2ef10e,1746392b2b2ef10e,"(368, 397, 4)","(368, 397, 4)",True,True,IDENTICAL
755601,obv,fullres,28.917,75.0,26c9816cafda66c8,26c9816cafda66c8,"(1078, 1146, 4)","(1078, 1146, 4)",True,True,IDENTICAL
755602,obv,query518,30.4,75.0,1ce5dd3de4061806,1ce5dd3de4061806,"(365, 361, 4)","(365, 361, 4)",True,True,IDENTICAL
755602,obv,fullres,30.4,75.0,e33a8edee6cfe284,e33a8edee6cfe284,"(1138, 1059, 4)","(1138, 1059, 4)",True,True,IDENTICAL
755612,obv,query518,96.0,75.0,22bc0f90c207f945,22bc0f90c207f945,"(373, 406, 4)","(373, 406, 4)",True,True,IDENTICAL
755612,obv,fullres,96.0,75.0,894695c0c2add471,894695c0c2add471,"(1083, 1179, 4)","(1083, 1179, 4)",True,True,IDENTICAL
755627,obv,query518,29.979,75.0,7deff36797260f2a,7deff36797260f2a,"(425, 472, 4)","(425, 472, 4)",True,True,IDENTICAL
755627,obv,fullres,29.979,75.0,6676ca82d81d3c8e,6676ca82d81d3c8e,"(1294, 1388, 4)","(1294, 1388, 4)",True,True,IDENTICAL
755636,rev,query518,32.625,75.0,d81af378a8792031,d81af378a8792031,"(436, 494, 4)","(436, 494, 4)",True,True,IDENTICAL
755636,rev,fullres,32.625,75.0,e83ba55098d3ee69,e83ba55098d3ee69,"(1268, 1454, 4)","(1268, 1454, 4)",True,True,IDENTICAL
755641,rev,query518,29.921,75.0,e17920a47861d270,e17920a47861d270,"(352, 383, 4)","(352, 383, 4)",True,True,IDENTICAL
755641,rev,fullres,29.921,75.0,44046247e76f23b7,44046247e76f23b7,"(967, 991, 4)","(967, 991, 4)",True,True,IDENTICAL
755643,rev,query518,30.813,75.0,b6600c5ee7611d45,b6600c5ee7611d45,"(404, 377, 4)","(404, 377, 4)",True,True,IDENTICAL
755643,rev,fullres,30.813,75.0,cd3f8a28e5f0884c,cd3f8a28e5f0884c,"(1058, 1092, 4)","(1058, 1092, 4)",True,True,IDENTICAL
755675,rev,query518,32.239,75.0,4c44ce2dc319f098,4c44ce2dc319f098,"(371, 391, 4)","(371, 391, 4)",True,True,IDENTICAL
755675,rev,fullres,32.239,75.0,98a491e4f11e8e60,98a491e4f11e8e60,"(1094, 1140, 4)","(1094, 1140, 4)",True,True,IDENTICAL
755681,rev,query518,32.051,75.0,371c3b3cc0653694,371c3b3cc0653694,"(387, 387, 4)","(387, 387, 4)",True,True,IDENTICAL
755681,rev,fullres,32.051,75.0,63c8f15541f7f449,63c8f15541f7f449,"(1163, 1140, 4)","(1163, 1140, 4)",True,True,IDENTICAL
755707,rev,query518,31.347,75.0,46fe1ef478a8f595,46fe1ef478a8f595,"(348, 348, 4)","(348, 348, 4)",True,True,IDENTICAL
755707,rev,fullres,31.347,75.0,081276464a29b293,081276464a29b293,"(1039, 1112, 4)","(1039, 1112, 4)",True,True,IDENTICAL
